nom_dispo,xCoord,yCoord,an,length,secheresseEte,tIntervalVeg6,pred,stdErrPred,scaledResid
faite,3.117818,49.281109,1968,10,1,12.699726239,12.840974834,0.2373053622,-0.921888509
faite,3.117818,49.281109,1994,5,0,13.201347332,13.231578085,0.237778364,-0.075896481
faite,3.117818,49.281109,1999,7,1,13.497944607,13.382351027,0.2385935898,0.5239979133
faite,3.117818,49.281109,2006,5,0,13.260605545,13.433399499,0.2395121877,-0.665499493
gb,6.346077,48.72014,1959,9,1,13.07962924,12.694795049,0.2384410322,-0.147046148
gb,6.346077,48.72014,1968,7,0,13.230998593,12.794298354,0.2376410419,0.1101286657
gb,6.346077,48.72014,1975,1,1,14.760219233,13.378792314,0.3014270278,1.6496993205
gb,6.346077,48.72014,1976,7,0,13.657293693,12.928845964,0.2371529892,1.2959390384
gb,6.346077,48.72014,1983,1,0,13.780243238,13.046575122,0.2371126199,0.4713835685
gb,6.346077,48.72014,1984,6,1,13.894470859,13.141187707,0.2376249037,1.1821657276
gb,6.346077,48.72014,1990,1,0,13.706414054,13.16430428,0.2374334035,0.1006625031
gb,6.346077,48.72014,1991,3,0,13.473114158,13.181122732,0.2375086468,-0.560695421
gb,6.346077,48.72014,1994,5,0,13.686285416,13.231578085,0.237778364,-0.083214914
gb,6.346077,48.72014,1999,3,0,13.344525732,13.315670341,0.2383739779,-1.307913079
gb,6.346077,48.72014,2002,5,1,13.9331516,13.459478655,0.2401054087,0.0469207469
gb,6.346077,48.72014,2007,5,0,13.532424279,13.450217951,0.2397035307,-1.421903717
grandpierri,6.117237,48.636849,1966,10,1,13.052781075,12.807337932,0.2374927386,0.3699865877
grandpierri,6.117237,48.636849,1976,4,0,12.791836037,12.928845964,0.2371529892,-1.071691427
grandpierri,6.117237,48.636849,1980,9,1,13.076642926,13.047982524,0.2368716783,-0.697938712
grandpierri,6.117237,48.636849,1989,8,0,13.16667178,13.147485829,0.2373655035,-0.658286546
grandpierri,6.117237,48.636849,1997,3,0,13.541284115,13.282033439,0.2381138803,0.3201463792
hallet,0.567173,48.404803,1965,7,0,12.632997579,12.743843001,0.2379450955,0.5421837184
hallet,0.567173,48.404803,1972,6,1,12.198328592,12.939366293,0.2377435136,-2.048196677
hallet,0.567173,48.404803,1978,10,0,12.671329986,12.962482866,0.2371045826,-0.020001808
hallet,0.567173,48.404803,1988,7,1,12.687359738,13.197348064,0.2374603935,-0.952261874
hallet,0.567173,48.404803,1995,5,0,13.089056639,13.248396536,0.2378829044,0.5662043714
hallet,0.567173,48.404803,1995,3,0,13.36814496,13.248396536,0.2378829044,1.2259767016
hallet,0.567173,48.404803,1998,2,0,12.814269084,13.29885189,0.2382402946,-0.481939615
hallet,0.567173,48.404803,2000,5,1,12.997145948,13.425841753,0.2397870125,-0.519360783
hallet,0.567173,48.404803,2005,5,0,13.12085911,13.416581048,0.2393279986,0.0081190037
hermousset,0.568355,48.397807,1965,8,0,12.73918438,12.743843001,0.2379450955,1.3208312972
hermousset,0.568355,48.397807,1973,4,1,12.45315327,12.995081811,0.2396468277,-0.93690653
hermousset,0.568355,48.397807,2000,5,1,12.997145948,13.425841753,0.2397870125,-0.570554359
hermousset,0.568355,48.397807,2005,5,0,13.12085911,13.416581048,0.2393279986,-0.042298941
mardescord,1.263985,47.562947,1961,5,0,12.841936783,12.676569196,0.2384525884,-0.040778888
mardescord,1.263985,47.562947,1966,7,0,13.190407363,12.760661452,0.2378364351,1.0654170922
mardescord,1.263985,47.562947,1973,3,1,12.893552848,13.033978877,0.2427335705,-1.021580634
mardescord,1.263985,47.562947,1989,9,0,13.212915268,13.147485829,0.2373655035,-0.60093444
mardescord,1.263985,47.562947,1998,3,0,13.875401034,13.29885189,0.2382402946,1.1721366637
mardescord,1.263985,47.562947,2001,5,1,14.096847711,13.442660204,0.2399426194,1.7055962331
mardescord,1.263985,47.562947,2006,5,0,13.39678561,13.433399499,0.2395121877,-0.977673049
mortefert,3.120216,49.204183,1961,7,0,12.947891816,12.676569196,0.2384525884,1.2227958591
pauverts,1.261664,47.572551,1966,7,0,13.190407363,12.760661452,0.2378364351,0.9787032501
pauverts,1.261664,47.572551,1973,3,1,12.893552848,13.033978877,0.2427335705,-1.066332144
pauverts,1.261664,47.572551,1989,1,0,13.864228143,13.147485829,0.2373655035,0.8639474307
pauverts,1.261664,47.572551,2001,5,1,14.096847711,13.442660204,0.2399426194,1.6239941431
pauverts,1.261664,47.572551,2006,5,0,13.39678561,13.433399499,0.2395121877,-1.049509974
planto,2.735896,46.643062,1981,1,0,13.651198119,13.01293822,0.2370872788,0.6212062144
planto,2.735896,46.643062,1982,10,1,13.716778954,13.076433151,0.2368180341,1.7751155397
planto,2.735896,46.643062,1992,6,0,13.374049075,13.197941183,0.2375912266,-0.670641185
planto,2.735896,46.643062,1998,5,1,13.968682263,13.39220485,0.2394974008,0.9199562314
planto,2.735896,46.643062,2003,5,0,14.261664696,13.382944146,0.2389811474,1.9753163694
puiseux,3.129425,49.285705,1968,10,1,12.699726239,12.840974834,0.2373053622,-0.776331044
puiseux,3.129425,49.285705,1994,5,0,13.201347332,13.231578085,0.237778364,-0.056596431
puiseux,3.129425,49.285705,1999,7,1,13.497944607,13.382351027,0.2385935898,0.5621075794
reno,0.685563,48.526383,1989,1,0,13.055066082,13.147485829,0.2373655035,0.3907009098
reno,0.685563,48.526383,1990,1,0,12.620034854,13.16430428,0.2374334035,-0.386399712
reno,0.685563,48.526383,1991,2,0,12.432024772,13.181122732,0.2375086468,-0.954912731
reno,0.685563,48.526383,1993,2,0,12.452324118,13.214759634,0.2376811351,-0.868885399
reno,0.685563,48.526383,1995,5,0,13.09224225,13.248396536,0.2378829044,0.9137656925
reno,0.685563,48.526383,2000,4,1,12.786680895,13.449179993,0.2411445754,-0.939056248
reno,0.685563,48.526383,2004,4,0,13.184611088,13.399762597,0.2391509799,0.6262931832
richebourg,2.710052,46.683995,1959,4,1,13.053904479,12.759623494,0.2409584337,-0.24737379
richebourg,2.710052,46.683995,1963,8,0,13.139162623,12.710206098,0.238184294,0.2930733419
richebourg,2.710052,46.683995,1995,8,1,13.707475065,13.306742137,0.2378668894,0.1156740017
sablo,1.257627,47.568466,1966,7,0,13.190407363,12.760661452,0.2378364351,0.87459706
sablo,1.257627,47.568466,1973,3,1,12.893552848,13.033978877,0.2427335705,-1.128680615
sablo,1.257627,47.568466,1976,5,0,12.929183371,12.928845964,0.2371529892,-0.865075609
sablo,1.257627,47.568466,1981,9,1,13.314637672,13.064800975,0.2368779066,0.1507977014
sablo,1.257627,47.568466,1990,1,0,13.179109975,13.16430428,0.2374334035,-0.354087197
sablo,1.257627,47.568466,1991,10,0,13.246577189,13.181122732,0.2375086468,-0.799719432
sablo,1.257627,47.568466,2001,5,1,14.096847711,13.442660204,0.2399426194,1.6846493211
sablo,1.257627,47.568466,2006,5,0,13.39678561,13.433399499,0.2395121877,-0.985089462
