"idp","XCOORD","YCOORD","xl93","yl93","dc","dep"
810371,6.273881,47.557205,946134,6722529,0,"70"
810410,1.359703,47.349967,576176,6695690,0,"41"
810556,2.595723,45.662447,668520,6507069,0,"63"
810574,0.227813,43.160222,474423,6232958,0,"65"
810584,3.648636,47.850411,748511,6750201,8,"89"
810687,5.753286,48.149809,904717,6786841,0,"88"
810702,3.281129,45.226926,722063,6458661,0,"43"
810780,3.186872,47.386952,714098,6698529,0,"58"
810817,-2.994131,47.699833,250860,6750327,0,"56"
810852,0.124146,44.579029,471732,6390818,0,"47"
810929,5.553073,47.075263,893695,6667022,0,"39"
811123,1.893492,50.013696,620618,6991136,0,"80"
811130,5.859915,44.92298,925620,6428951,0,"38"
811243,3.305956,45.190726,724027,6454648,0,"43"
811366,4.926836,46.659012,847323,6619457,8,"71"
811374,0.214552,43.519527,474753,6272912,9,"32"
811417,5.356648,48.736468,873289,6851069,0,"55"
811420,6.88869,48.831652,985349,6866094,0,"57"
811532,0.301166,47.336173,496241,6696354,0,"37"
811587,0.179574,45.102,478204,6448709,0,"24"
811613,2.285632,47.983669,646707,6765050,8,"45"
811633,1.069418,48.426464,557191,6815766,0,"28"
811634,0.516208,44.9101,503997,6426517,0,"24"
811660,0.247131,43.304412,476553,6248923,0,"65"
811711,4.648783,49.938679,818455,6983465,0,"8"
811712,1.001287,46.860536,547749,6641968,0,"37"
811732,4.186681,46.421428,791134,6591959,8,"71"
811773,-0.27337,43.922543,437174,6319175,9,"40"
811952,0.501311,46.13367,507121,6562370,0,"16"
812094,1.672648,47.729978,600507,6737457,0,"41"
812097,-0.234592,44.715194,443892,6407032,0,"33"
812160,0.619988,42.771856,505023,6188752,0,"31"
812278,3.568905,47.869265,742533,6752250,0,"89"
812298,2.020429,47.53356,626303,6715256,0,"41"
812301,5.080225,47.10552,857742,6669329,0,"21"
812333,3.175556,46.667311,713422,6618596,0,"3"
812386,5.869694,47.480184,916072,6712796,8,"70"
812410,0.540637,46.512271,511465,6604299,0,"86"
812425,5.236189,47.551759,868162,6719202,0,"21"
812448,5.261309,49.458193,863982,6931102,0,"55"
812578,1.188346,46.700608,561588,6623867,0,"36"
812579,1.608458,48.520918,597245,6825425,8,"28"
812623,5.31484,47.531772,874140,6717153,0,"21"
812636,2.133083,45.860486,632738,6529350,0,"23"
812656,4.652577,46.970914,825632,6653615,0,"21"
812689,5.989892,47.296358,925891,6692726,0,"25"
812706,4.906061,48.423288,841004,6815369,7,"52"
812710,-0.489672,43.01786,415375,6219460,0,"64"
812735,1.986942,44.546783,619528,6383595,0,"12"
812762,7.257274,48.979051,1011487,6883856,8,"67"
812777,4.460841,48.108333,808720,6779668,8,"10"
812788,0.408608,45.826134,498847,6528467,8,"16"
812793,3.107683,49.239663,707843,6904448,8,"2"
812863,1.062396,45.385565,548384,6478100,0,"24"
812960,1.216038,47.888383,566684,6755727,0,"41"
812963,2.854012,45.841492,688669,6526882,0,"63"
813064,4.257727,46.222259,796942,6569928,8,"71"
813068,1.416251,43.302793,571428,6246137,0,"31"
813123,1.45281,46.523007,581404,6603717,0,"36"
813169,5.495568,48.336998,884904,6806998,9,"52"
813260,0.724781,45.579158,522592,6500295,0,"24"
813289,1.190687,49.056938,567766,6885634,8,"27"
813294,-3.998813,48.280915,181478,6820837,0,"29"
813318,6.002941,47.872208,924444,6756692,8,"70"
813351,5.807419,48.562192,907111,6832790,0,"54"
813426,0.928153,47.651392,544484,6729930,0,"41"
813484,-0.221222,47.739768,458650,6742632,0,"72"
813511,4.378558,47.372059,804025,6697766,8,"21"
813553,5.139341,49.245353,855781,6907186,0,"55"
813564,4.27048,46.582025,797282,6609892,8,"71"
813582,0.145166,48.556815,489371,6832318,8,"61"
813598,-0.154836,46.895222,459874,6648691,7,"79"
813620,5.447708,44.575306,894309,6389259,0,"26"
813672,0.507281,47.501572,512377,6714207,0,"37"
813695,2.678724,46.633895,675422,6614920,0,"3"
813715,2.449991,43.414517,655433,6257422,0,"11"
813720,5.8155,47.463816,912058,6710832,0,"70"
813737,4.710357,49.470309,824007,6931445,0,"8"
813758,4.245648,46.618436,795317,6613905,0,"71"
813794,5.611176,46.299252,900951,6581029,0,"1"
813938,6.531933,48.466702,961003,6824331,0,"54"
814003,2.603992,47.371781,670116,6696902,0,"18"
814054,2.881184,45.985315,690802,6542850,0,"63"
814082,1.019607,47.18465,550047,6677921,0,"37"
814131,3.332069,49.489565,724069,6932295,0,"2"
814179,0.642758,44.912109,513987,6426434,0,"24"
814452,3.751655,47.70528,756369,6734145,0,"89"
