SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:56;;;;;;;;
Projet;_Forest resources database;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Calculation: ;Analyser;;;;;;;;;;;;
Results: ;Inventaire;;;;;;;;;;;;
Product: ;1 ha _Oak forest rack making by gyratory crusher, in forest/FR U (of project _Forest resources database);;;;;;;;;;;;
Méthode: ;;;;;;;;;;;;;
Indicateur: ;Inventaire;;;;;;;;;;;;
Unité: ;?;;;;;;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;;;;;;
Per sub-compartment: ;Oui;;;;;;;;;;;;
Default units: ;Non;;;;;;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;;;;;;
Sorted on item: ;Substance;;;;;;;;;;;;
Sort order: ;Croissant;;;;;;;;;;;;
;;;;;;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak forest rack making by gyratory crusher, in forest/FR U;Operation, lorry 3.5-16t, fleet average/RER S;Operation, passenger car, diesel, fleet average/RER S;Diesel, at regional storage/RER S;_Tillage, ploughing/CH U_Air emissions of tractor diesel combustion, in forest/FR U;_Tillage, ploughing/CH U_Soil emissions from tyre abrasion of tractor, in forest/FR U;Tractor, production/CH/I S;Agricultural machinery, general, production/CH/I S
67;Aluminium;Sol;agricultural;kg;6.60177E-06;x;8.0822E-08;8.238E-08;2.37775E-06;x;x;2.01113E-06;2.04969E-06
68;Aluminium;Sol;industrial;kg;0.001227232;x;0.000029683;0.000030254;0.001076068;x;x;5.78694E-05;3.33581E-05
69;Ammonia;Air;;kg;0.001270998;x;0.000055114;0.000107282;0.000133117;x;x;0.000465958;0.000509527
70;Ammonia;Air;high. pop.;kg;0.000100413;x;8.1789E-07;8.3366E-07;2.60042E-05;x;x;5.11715E-05;2.15862E-05
71;Ammonia;Air;low. pop.;kg;0.000903214;x;3.9939E-06;4.0708E-06;0.000127423;0.0006552;x;4.43058E-05;6.82206E-05
72;Ammonium carbonate;Air;high. pop.;kg;1.05027E-08;x;1.096E-10;1.1171E-10;2.49978E-09;x;x;4.96632E-09;2.81526E-09
73;Ammonium, ion;Eau;;kg;1.9577E-07;x;1.0704E-10;1.09104E-10;2.3028E-09;x;x;1.60716E-07;3.25352E-08
74;Ammonium, ion;Eau;groundwater;kg;5.894E-06;x;1.9079E-08;1.94462E-08;5.77198E-07;x;x;1.81507E-06;3.4632E-06
75;Ammonium, ion;Eau;ocean;kg;0.000116289;x;0.000002434;2.4808E-06;0.000104518;x;x;4.58075E-06;2.27546E-06
76;Ammonium, ion;Eau;river;kg;0.000164402;x;3.6389E-06;0.000003709;7.39754E-05;x;x;3.46311E-05;4.84478E-05
77;Anhydrite;Brut;in ground;kg;1.70767E-06;x;4.915E-09;5.0098E-09;1.33608E-07;x;x;1.28627E-06;2.7787E-07
78;Aniline;Air;high. pop.;kg;8.17225E-11;x;4.8309E-13;4.924E-13;1.50054E-11;x;x;3.15107E-11;3.42309E-11
79;Aniline;Eau;river;kg;2.01393E-10;x;1.1636E-12;1.18608E-12;3.60524E-11;x;x;7.74065E-11;8.55847E-11
80;Anthranilic acid;Air;high. pop.;kg;9.52724E-12;x;7.6098E-15;7.7564E-15;6.8606E-14;x;x;3.22505E-12;6.21822E-12
81;Antimony;Air;;kg;6.76971E-10;x;1.1923E-11;1.2153E-11;2.60475E-10;x;x;1.75474E-10;2.16946E-10
82;Antimony;Air;high. pop.;kg;2.3015E-08;x;1.906E-11;1.94272E-11;4.34987E-10;x;x;9.00801E-09;1.35335E-08
83;Antimony;Air;low. pop.;kg;1.90058E-06;x;2.0106E-09;2.0494E-09;4.56347E-08;x;x;1.36274E-06;4.88141E-07
84;Antimony;Eau;;kg;1.78747E-10;x;9.7734E-14;9.9618E-14;2.10257E-12;x;x;1.46742E-10;2.97058E-11
85;Antimony;Eau;groundwater;kg;9.149E-07;x;1.0524E-08;1.07272E-08;3.27449E-07;x;x;3.01879E-07;2.64321E-07
86;Antimony;Eau;river;kg;4.5515E-06;x;7.9508E-09;8.104E-09;1.98146E-07;x;x;0.000003339;9.98297E-07
87;Antimony;Sol;agricultural;kg;8.64034E-12;x;5.1812E-14;5.281E-14;9.96166E-13;x;x;4.42064E-12;3.11892E-12
88;Antimony-122;Eau;river;Bq;0.002296131;x;4.4061E-06;0.000004491;3.74742E-05;x;x;0.001011925;0.001237835
89;Antimony-124;Air;low. pop.;Bq;5.69534E-06;x;1.0929E-08;1.11396E-08;9.29467E-08;x;x;2.50999E-06;3.07033E-06
90;Antimony-124;Eau;river;Bq;0.176702437;x;0.00081536;0.00083108;0.019769022;x;x;0.072099875;0.0831871
91;Antimony-125;Air;low. pop.;Bq;5.94346E-05;x;1.1405E-07;1.1625E-07;9.69991E-07;x;x;2.6193E-05;3.20413E-05
92;Antimony-125;Eau;river;Bq;0.168905548;x;0.00075275;0.00076726;0.018003913;x;x;0.069887125;0.0794945
93;AOX, Adsorbable Organic Halogen as Cl;Eau;;kg;1.78692E-08;x;1.5148E-10;1.54396E-10;4.38951E-09;x;x;8.43296E-09;4.74081E-09
94;AOX, Adsorbable Organic Halogen as Cl;Eau;ocean;kg;3.32342E-07;x;6.9437E-09;7.0776E-09;2.97326E-07;x;x;1.3774E-08;7.22018E-09
95;AOX, Adsorbable Organic Halogen as Cl;Eau;river;kg;3.40652E-06;x;4.2163E-08;4.2976E-08;1.57533E-06;x;x;1.65453E-06;9.15195E-08
96;Argon-41;Air;low. pop.;Bq;25.95228057;x;0.30873;0.31468;9.5541264;x;x;7.574804167;8.19994
97;Arsenic;Air;;kg;4.09187E-09;x;7.1653E-11;7.3034E-11;1.56576E-09;x;x;1.07451E-09;1.30691E-09
98;Arsenic;Air;high. pop.;kg;1.05785E-06;x;1.8386E-08;1.874E-08;5.82178E-07;x;x;1.82234E-07;2.56314E-07
99;Arsenic;Air;low. pop.;kg;1.69353E-05;x;1.8106E-08;1.84548E-08;4.4511E-07;x;x;1.10002E-05;5.45343E-06
100;Arsenic;Sol;agricultural;kg;2.12787E-09;x;2.2128E-11;2.2554E-11;6.21916E-10;x;x;7.71923E-10;6.89347E-10
101;Arsenic;Sol;industrial;kg;4.909E-07;x;1.1873E-08;1.21018E-08;4.30434E-07;x;x;2.31478E-08;1.33433E-08
102;Arsenic, ion;Eau;;kg;6.07982E-07;x;7.6835E-10;7.8316E-10;2.19685E-08;x;x;1.79127E-07;4.05335E-07
103;Arsenic, ion;Eau;groundwater;kg;4.46519E-06;x;5.2734E-08;5.375E-08;1.64305E-06;x;x;1.42214E-06;1.29352E-06
104;Arsenic, ion;Eau;lake;kg;7.71649E-14;x;6.8465E-16;6.9784E-16;7.35986E-15;x;x;5.12113E-14;1.72113E-14
105;Arsenic, ion;Eau;ocean;kg;5.97465E-07;x;1.2241E-08;1.24768E-08;5.18394E-07;x;x;3.20849E-08;2.22685E-08
106;Arsenic, ion;Eau;river;kg;2.51904E-05;x;9.6154E-08;9.8008E-08;2.82909E-06;x;x;1.64662E-05;5.70096E-06
107;Arsine;Air;high. pop.;kg;1.9009E-14;x;1.6911E-16;1.72368E-16;1.75315E-15;x;x;1.27578E-14;4.15658E-15
108;Atrazine;Sol;agricultural;kg;1.1021E-11;x;9.8026E-14;9.9914E-14;1.0191E-12;x;x;7.39041E-12;2.41358E-12
109;Barite;Eau;ocean;kg;0.009686185;x;0.00019798;0.0002018;0.008457977;x;x;0.000496875;0.000331553
110;Barium;Air;;kg;3.59436E-15;x;1.8845E-17;1.92084E-17;4.80982E-16;x;x;1.4581E-15;1.61723E-15
111;Barium;Air;high. pop.;kg;1.70158E-06;x;9.2342E-10;9.4122E-10;2.55033E-08;x;x;6.10759E-07;1.06345E-06
112;Barium;Air;low. pop.;kg;1.56869E-06;x;1.2618E-08;1.28616E-08;3.91679E-07;x;x;4.91818E-07;6.5971E-07
113;Barium;Eau;;kg;4.52134E-06;x;2.4721E-09;2.5198E-09;5.31826E-08;x;x;3.71177E-06;7.51396E-07
114;Barium;Eau;groundwater;kg;5.08637E-07;x;2.9791E-09;3.0366E-09;9.16527E-08;x;x;1.73162E-07;2.37806E-07
115;Barium;Eau;ocean;kg;0.00075898;x;0.000015866;1.61714E-05;0.000679017;x;x;3.15483E-05;1.63781E-05
116;Barium;Eau;river;kg;0.001577258;x;0.000048832;0.000049774;0.001341227;x;x;8.96981E-05;4.77263E-05
117;Barium;Sol;agricultural;kg;3.24279E-08;x;1.03E-09;1.04988E-09;2.82922E-08;x;x;1.34013E-09;7.15728E-10
118;Barium;Sol;industrial;kg;0.000613633;x;0.000014841;1.51274E-05;0.00053805;x;x;2.89358E-05;1.66789E-05
119;Barium-140;Air;low. pop.;Bq;0.003866185;x;7.4189E-06;0.000007562;6.30958E-05;x;x;0.001703862;0.002084247
120;Barium-140;Eau;river;Bq;0.010058266;x;0.000019301;1.96732E-05;0.000164154;x;x;0.004432788;0.00542235
121;Baryte;Brut;in ground;kg;0.210701393;x;0.0050116;0.0051082;0.184556736;x;x;0.010111517;0.00591334
122;Basalt;Brut;in ground;kg;0.002958816;x;0.000049843;0.000050804;0.001272562;x;x;0.000764613;0.000820993
123;Benomyl;Sol;agricultural;kg;6.31711E-11;x;1.4843E-12;1.51288E-12;4.952E-11;x;x;7.65276E-12;3.00118E-12
124;Bentazone;Sol;agricultural;kg;5.77305E-08;x;4.562E-11;4.65E-11;3.99934E-10;x;x;1.95429E-08;3.76956E-08
125;Benzal chloride;Air;;kg;1.12208E-14;x;6.1351E-18;6.2534E-18;1.31987E-16;x;x;9.21162E-15;1.86476E-15
126;Benzaldehyde;Air;high. pop.;kg;3.62075E-07;x;7.6212E-11;7.7682E-11;2.18997E-09;x;x;1.845E-07;1.75232E-07
127;Benzene;Air;;kg;1.00407E-05;x;1.3985E-07;0.000004793;9.7805E-07;x;x;1.75322E-06;2.37662E-06
128;Benzene;Air;high. pop.;kg;0.000285342;x;8.0449E-06;0.0000082;0.000214879;x;x;3.03204E-05;2.38976E-05
129;Benzene;Air;low. pop.;kg;0.000303288;x;6.2297E-07;6.3498E-07;1.84573E-05;0.000239738;x;1.70728E-05;2.67617E-05
130;Benzene;Air;stratosphere + troposphere;kg;8.72357E-12;x;1.1515E-13;1.17368E-13;3.02244E-12;x;x;4.01078E-12;1.45784E-12
131;Benzene;Eau;;kg;2.66368E-08;x;1.4564E-11;1.4845E-11;3.13323E-10;x;x;2.18674E-08;4.42668E-09
132;Benzene;Eau;ocean;kg;7.18446E-05;x;1.5017E-06;1.53066E-06;6.42718E-05;x;x;2.98788E-06;1.55248E-06
133;Benzene;Eau;river;kg;0.000139807;x;3.6506E-06;0.000003721;0.000100711;x;x;2.24963E-05;9.22854E-06
134;Benzene, 1-methyl-2-nitro-;Air;high. pop.;kg;1.12896E-11;x;9.0114E-15;9.1852E-15;8.10974E-14;x;x;3.82174E-12;7.36855E-12
135;Benzene, 1,2-dichloro-;Air;high. pop.;kg;2.43596E-10;x;1.9644E-13;2.0022E-13;1.87839E-12;x;x;8.62023E-11;1.55119E-10
136;Benzene, 1,2-dichloro-;Eau;river;kg;5.93227E-09;x;4.2164E-11;4.2976E-11;4.51891E-10;x;x;3.5415E-09;1.85374E-09
137;Benzene, chloro-;Eau;river;kg;1.11151E-07;x;8.615E-10;8.781E-10;9.24487E-09;x;x;6.9101E-08;3.10656E-08
138;Benzene, ethyl-;Air;high. pop.;kg;5.6296E-05;x;1.8145E-06;1.84952E-06;4.8262E-05;x;x;2.72332E-06;1.64661E-06
139;Benzene, ethyl-;Air;low. pop.;kg;3.51847E-10;x;1.2905E-12;1.31542E-12;3.27079E-11;x;x;1.91606E-10;1.24927E-10
140;Benzene, ethyl-;Eau;;kg;1.49707E-09;x;8.1855E-13;8.3434E-13;1.76098E-11;x;x;1.229E-09;2.48799E-10
141;Benzene, ethyl-;Eau;ocean;kg;2.08923E-05;x;4.3672E-07;4.4514E-07;1.86912E-05;x;x;8.68405E-07;4.50808E-07
142;Benzene, ethyl-;Eau;river;kg;4.33832E-05;x;1.3437E-06;1.3696E-06;3.68976E-05;x;x;2.46406E-06;1.30821E-06
143;Benzene, hexachloro-;Air;;kg;9.84259E-09;x;8.9347E-11;9.107E-11;2.5597E-09;x;x;2.51595E-09;4.58652E-09
144;Benzene, hexachloro-;Air;high. pop.;kg;1.97612E-10;x;6.5356E-13;6.6616E-13;1.50617E-11;x;x;1.32372E-10;4.88585E-11
145;Benzene, pentachloro-;Air;high. pop.;kg;4.96035E-10;x;1.6402E-12;1.67186E-12;3.77985E-11;x;x;3.32288E-10;1.22637E-10
146;Benzo(a)pyrene;Air;;kg;2.50647E-07;x;2.7591E-10;2.8122E-10;5.88861E-09;x;x;2.3044E-07;1.37614E-08
147;Benzo(a)pyrene;Air;high. pop.;kg;2.46437E-09;x;1.8567E-11;1.89248E-11;5.30581E-10;x;x;1.18371E-09;7.12583E-10
148;Benzo(a)pyrene;Air;low. pop.;kg;1.24862E-06;x;1.7168E-09;1.74992E-09;5.31236E-08;9.828E-07;x;7.57348E-08;1.33492E-07
149;Beryllium;Air;;kg;1.01632E-09;x;1.7885E-11;1.823E-11;3.90729E-10;x;x;2.63918E-10;3.25563E-10
150;Beryllium;Air;high. pop.;kg;1.72256E-08;x;1.3424E-11;1.36828E-11;3.87092E-10;x;x;6.11465E-09;1.06967E-08
151;Beryllium;Air;low. pop.;kg;1.484E-08;x;1.6222E-11;1.65342E-11;4.13759E-10;x;x;5.96493E-09;8.4286E-09
152;Beryllium;Eau;;kg;1.59221E-10;x;8.7057E-14;8.8734E-14;1.87286E-12;x;x;1.30711E-10;2.64609E-11
153;Beryllium;Eau;groundwater;kg;8.55009E-08;x;3.0339E-10;3.0924E-10;8.9995E-09;x;x;4.14835E-08;3.44052E-08
154;Beryllium;Eau;river;kg;3.77507E-09;x;2.3488E-11;2.3942E-11;6.4891E-10;x;x;1.48533E-09;1.59341E-09
155;BOD5, Biological Oxygen Demand;Eau;;kg;0.000985365;x;1.8942E-06;1.93074E-06;5.5823E-05;x;x;0.00029298;0.000632737
156;BOD5, Biological Oxygen Demand;Eau;groundwater;kg;1.17621E-06;x;3.7896E-09;3.8626E-09;1.14843E-07;x;x;3.62078E-07;6.91641E-07
157;BOD5, Biological Oxygen Demand;Eau;ocean;kg;0.0875057;x;0.0022164;0.0022592;0.076841856;x;x;0.003902125;0.002286119
158;BOD5, Biological Oxygen Demand;Eau;river;kg;0.474061033;x;0.010006;0.0101988;0.42345576;x;x;0.020013463;0.01038701
159;Borate;Eau;river;kg;2.48354E-09;x;2.2837E-12;2.3278E-12;3.43652E-11;x;x;1.24795E-09;1.19662E-09
160;Borax;Brut;in ground;kg;2.93475E-07;x;5.4637E-09;5.569E-09;7.38738E-08;x;x;9.71137E-08;1.11455E-07
161;Boron;Air;;kg;2.07468E-14;x;1.0878E-16;1.10872E-16;2.77628E-15;x;x;8.41618E-15;9.33473E-15
162;Boron;Air;high. pop.;kg;6.6017E-06;x;4.0161E-09;4.0934E-09;1.09825E-07;x;x;2.50072E-06;3.98305E-06
163;Boron;Air;low. pop.;kg;6.91779E-05;x;8.4519E-07;8.6148E-07;2.63813E-05;x;x;2.15728E-05;1.95171E-05
