SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:56;;;;;;;;
Projet;_Forest resources database;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Calculation: ;Analyser;;;;;;;;;;;;
Results: ;Inventaire;;;;;;;;;;;;
Product: ;1 ha _Oak forest rack making by gyratory crusher, in forest/FR U (of project _Forest resources database);;;;;;;;;;;;
Méthode: ;;;;;;;;;;;;;
Indicateur: ;Inventaire;;;;;;;;;;;;
Unité: ;?;;;;;;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;;;;;;
Per sub-compartment: ;Oui;;;;;;;;;;;;
Default units: ;Non;;;;;;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;;;;;;
Sorted on item: ;Substance;;;;;;;;;;;;
Sort order: ;Croissant;;;;;;;;;;;;
;;;;;;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak forest rack making by gyratory crusher, in forest/FR U;Operation, lorry 3.5-16t, fleet average/RER S;Operation, passenger car, diesel, fleet average/RER S;Diesel, at regional storage/RER S;_Tillage, ploughing/CH U_Air emissions of tractor diesel combustion, in forest/FR U;_Tillage, ploughing/CH U_Soil emissions from tyre abrasion of tractor, in forest/FR U;Tractor, production/CH/I S;Agricultural machinery, general, production/CH/I S
350;Cyanide;Air;low. pop.;kg;3.63287E-06;x;2.9398E-09;2.9964E-09;8.60802E-08;x;x;9.71313E-07;2.56954E-06
351;Cyanide;Eau;;kg;6.04463E-06;x;7.6643E-09;7.812E-09;2.19273E-07;x;x;1.76245E-06;4.04743E-06
352;Cyanide;Eau;ocean;kg;3.25972E-06;x;6.5958E-08;6.723E-08;2.77081E-06;x;x;2.49365E-07;1.0636E-07
353;Cyanide;Eau;river;kg;1.81983E-05;x;1.0791E-07;1.09992E-07;2.18958E-06;x;x;1.13793E-05;4.41151E-06
354;Cyanoacetic acid;Air;high. pop.;kg;7.39949E-11;x;5.8528E-14;5.9656E-14;5.14561E-13;x;x;2.50624E-11;4.82998E-11
355;Cypermethrin;Sol;agricultural;kg;5.34163E-09;x;1.1526E-10;1.1748E-10;3.83685E-09;x;x;7.48272E-10;5.23772E-10
356;Diatomite;Brut;in ground;kg;1.36357E-07;x;3.3927E-11;3.458E-11;2.10758E-10;x;x;1.35581E-07;4.96836E-10
357;Dichromate;Eau;river;kg;1.81529E-07;x;1.9723E-09;2.0102E-09;4.28304E-08;x;x;8.59505E-08;4.8766E-08
358;Diethylamine;Air;high. pop.;kg;4.03178E-11;x;2.1748E-13;2.2168E-13;6.6837E-12;x;x;1.53676E-11;1.78273E-11
359;Diethylamine;Eau;river;kg;9.67631E-11;x;5.2196E-13;5.3202E-13;1.60409E-11;x;x;3.68814E-11;4.27868E-11
360;Dimethyl malonate;Air;high. pop.;kg;9.27877E-11;x;7.3394E-14;7.4808E-14;6.45241E-13;x;x;3.1429E-11;6.05653E-11
361;Dimethylamine;Eau;river;kg;6.19524E-10;x;6.725E-13;6.8546E-13;1.06005E-11;x;x;2.11481E-10;3.96085E-10
362;Dinitrogen monoxide;Air;;kg;0.000615398;x;0.00030198;0.000147502;4.34758E-05;x;x;6.05282E-05;6.19121E-05
363;Dinitrogen monoxide;Air;high. pop.;kg;0.000352268;x;3.3758E-06;3.4408E-06;0.000103964;x;x;0.000143849;9.76393E-05
364;Dinitrogen monoxide;Air;low. pop.;kg;0.004185507;x;0.000005317;5.4194E-06;0.000140996;0.00392869;x;5.17943E-05;5.32911E-05
365;Dinitrogen monoxide;Air;stratosphere + troposphere;kg;1.31182E-11;x;1.7316E-13;1.76496E-13;4.54512E-12;x;x;6.03118E-12;2.19225E-12
366;Dioxin, 2,3,7,8 Tetrachlorodibenzo-p-;Air;;kg;4.80315E-11;x;8.3798E-14;8.5414E-14;2.35892E-12;x;x;1.39235E-11;3.15799E-11
367;Dioxin, 2,3,7,8 Tetrachlorodibenzo-p-;Air;high. pop.;kg;3.56176E-12;x;1.0094E-14;1.02884E-14;2.70542E-13;x;x;2.66215E-12;6.08687E-13
368;Dioxin, 2,3,7,8 Tetrachlorodibenzo-p-;Air;low. pop.;kg;6.52614E-12;x;1.9948E-14;2.0332E-14;6.34627E-13;x;x;3.77912E-12;2.07211E-12
369;Dipropylamine;Air;high. pop.;kg;2.14228E-11;x;1.3553E-13;1.38138E-13;4.24013E-12;x;x;8.34198E-12;8.56698E-12
370;Dipropylamine;Eau;river;kg;5.14155E-11;x;3.2526E-13;3.3154E-13;1.01766E-11;x;x;2.00212E-11;2.05609E-11
371;DOC, Dissolved Organic Carbon;Eau;;kg;6.07651E-05;x;3.0315E-07;3.0898E-07;9.17575E-06;x;x;2.02513E-05;3.07259E-05
372;DOC, Dissolved Organic Carbon;Eau;lake;kg;3.45378E-07;x;3.3879E-09;3.4532E-09;9.99344E-08;x;x;1.72332E-07;6.62707E-08
373;DOC, Dissolved Organic Carbon;Eau;ocean;kg;0.02911504;x;0.00071515;0.00072894;0.025649442;x;x;0.001283395;0.000738113
374;DOC, Dissolved Organic Carbon;Eau;river;kg;0.141810489;x;0.0030803;0.0031398;0.125497008;x;x;0.006386721;0.00370666
375;Dolomite;Brut;in ground;kg;0.019437431;x;0.000028853;0.000029408;0.00083502;x;x;0.005650021;0.01289413
376;Energy, gross calorific value, in biomass;Brut;biotic;MJ;4.70258542;x;0.03148;0.032086;0.92520792;x;x;2.1355025;1.578309
377;Energy, gross calorific value, in biomass, primary forest;Brut;biotic;MJ;0.003032864;x;0.00007126;0.000072634;0.002377459;x;x;0.000367423;0.000144089
378;Energy, kinetic (in wind), converted;Brut;in air;MJ;1.054544593;x;0.013541;0.013802;0.42329196;x;x;0.293575833;0.3103338
379;Energy, potential (in hydropower reservoir), converted;Brut;in water;MJ;29.99061893;x;0.11167;0.113828;2.7316926;x;x;13.22835833;13.80507
380;Energy, solar, converted;Brut;in air;MJ;0.027709125;x;0.00021335;0.00021746;0.006099912;x;x;0.009824213;0.01135419
381;Ethane;Air;;kg;2.37595E-07;x;1.2991E-10;1.32414E-10;2.79476E-09;x;x;1.95051E-07;3.94864E-08
382;Ethane;Air;high. pop.;kg;0.000634807;x;0.000019127;1.94952E-05;0.000510925;x;x;4.57258E-05;3.95345E-05
383;Ethane;Air;low. pop.;kg;0.000603254;x;6.5699E-06;6.6966E-06;0.000258368;x;x;0.000148232;0.000183387
384;Ethane, 1,1-difluoro-, HFC-152a;Air;high. pop.;kg;9.90705E-09;x;7.8101E-11;7.9606E-11;2.24521E-09;x;x;3.48519E-09;4.01894E-09
385;Ethane, 1,1,1-trichloro-, HCFC-140;Air;;kg;1.75161E-15;x;9.5773E-19;9.7618E-19;2.06037E-17;x;x;1.43798E-15;2.91098E-16
386;Ethane, 1,1,1-trichloro-, HCFC-140;Air;low. pop.;kg;7.48133E-11;x;2.7441E-13;2.797E-13;6.95462E-12;x;x;4.07415E-11;2.6563E-11
387;Ethane, 1,1,1,2-tetrafluoro-, HFC-134a;Air;;kg;2.4569E-05;x;0.000022994;9.5756E-08;3.69107E-07;x;x;5.11251E-07;5.98845E-07
388;Ethane, 1,1,1,2-tetrafluoro-, HFC-134a;Air;high. pop.;kg;2.25402E-10;x;1.9576E-12;1.9953E-12;2.72704E-11;x;x;1.35874E-10;5.83046E-11
389;Ethane, 1,1,1,2-tetrafluoro-, HFC-134a;Air;low. pop.;kg;1.16598E-08;x;6.5889E-11;6.716E-11;1.73526E-09;x;x;4.62778E-09;5.16372E-09
390;Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113;Air;high. pop.;kg;7.73963E-11;x;6.8854E-13;7.018E-13;7.13808E-12;x;x;5.19444E-11;1.69234E-11
391;Ethane, 1,2-dichloro-;Air;high. pop.;kg;8.55249E-07;x;8.4423E-09;8.605E-09;2.30876E-07;x;x;4.33474E-07;1.73852E-07
392;Ethane, 1,2-dichloro-;Air;low. pop.;kg;1.49442E-10;x;5.4814E-13;5.587E-13;1.38922E-11;x;x;8.13815E-11;5.30617E-11
393;Ethane, 1,2-dichloro-;Eau;river;kg;5.4381E-08;x;6.6812E-10;6.81E-10;2.24059E-08;x;x;1.53161E-08;1.53099E-08
394;Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-, CFC-114;Air;low. pop.;kg;2.21847E-07;x;1.1701E-09;1.19264E-09;3.00186E-08;x;x;8.86293E-08;1.00836E-07
395;Ethane, hexafluoro-, HFC-116;Air;;kg;2.41638E-06;x;1.6039E-09;1.63476E-09;2.46981E-08;x;x;2.32935E-06;5.90964E-08
396;Ethane, hexafluoro-, HFC-116;Air;high. pop.;kg;5.57786E-09;x;4.9376E-11;5.0328E-11;5.47256E-10;x;x;3.66561E-09;1.26529E-09
397;Ethanol;Air;high. pop.;kg;5.86919E-06;x;9.6975E-08;9.8844E-08;2.72838E-06;x;x;1.61968E-06;1.3253E-06
398;Ethanol;Air;low. pop.;kg;6.17259E-08;x;4.0321E-10;4.1098E-10;1.11204E-08;x;x;2.36535E-08;2.61379E-08
399;Ethanol;Eau;river;kg;4.041E-08;x;2.3457E-10;2.3908E-10;2.51774E-09;x;x;2.18261E-08;1.55925E-08
400;Ethene;Air;high. pop.;kg;0.000164041;x;3.7255E-06;3.7972E-06;9.93185E-05;x;x;2.57911E-05;3.14082E-05
401;Ethene;Air;low. pop.;kg;0.000135788;x;1.7993E-07;1.83396E-07;5.17018E-06;x;x;4.00525E-05;9.02023E-05
402;Ethene;Eau;river;kg;1.18038E-05;x;1.1695E-07;1.1921E-07;3.45487E-06;x;x;5.87262E-06;2.24017E-06
403;Ethene, chloro-;Air;;kg;6.41674E-16;x;3.5085E-19;3.5762E-19;7.5479E-18;x;x;5.26776E-16;1.06641E-16
404;Ethene, chloro-;Air;high. pop.;kg;2.51469E-07;x;2.4902E-09;2.5382E-09;5.9253E-08;x;x;1.32564E-07;5.46231E-08
405;Ethene, chloro-;Eau;river;kg;2.4245E-09;x;2.1443E-11;2.1856E-11;4.4131E-10;x;x;1.43166E-09;5.08232E-10
406;Ethene, tetrachloro-;Air;;kg;1.38742E-12;x;7.586E-16;7.7322E-16;1.63197E-14;x;x;1.13899E-12;2.30573E-13
407;Ethene, tetrachloro-;Air;high. pop.;kg;8.5761E-12;x;6.7863E-14;6.917E-14;1.91148E-12;x;x;3.09388E-12;3.43371E-12
408;Ethene, tetrachloro-;Air;low. pop.;kg;1.60739E-10;x;5.8958E-13;6.0094E-13;1.49425E-11;x;x;8.75339E-11;5.70725E-11
409;Ethyl acetate;Air;high. pop.;kg;2.9537E-06;x;2.6246E-08;2.6752E-08;2.76432E-07;x;x;1.97281E-06;6.51459E-07
410;Ethyl acetate;Eau;river;kg;8.60048E-11;x;5.6842E-13;5.7938E-13;1.72101E-11;x;x;3.40083E-11;3.36386E-11
411;Ethyl cellulose;Air;high. pop.;kg;5.91946E-09;x;5.2661E-11;5.3676E-11;5.45782E-10;x;x;3.97323E-09;1.29411E-09
412;Ethylamine;Air;high. pop.;kg;2.73746E-11;x;2.4784E-14;2.5262E-14;3.52825E-13;x;x;1.31012E-11;1.38706E-11
413;Ethylamine;Eau;river;kg;6.56988E-11;x;5.9482E-14;6.0628E-14;8.4678E-13;x;x;3.14423E-11;3.32896E-11
414;Ethylene diamine;Air;high. pop.;kg;1.80764E-10;x;3.0251E-13;3.0834E-13;3.93448E-12;x;x;1.44747E-10;3.14715E-11
415;Ethylene diamine;Eau;river;kg;4.35618E-10;x;7.305E-13;7.4458E-13;9.47649E-12;x;x;3.48961E-10;7.57057E-11
416;Ethylene oxide;Air;;kg;1.8641E-10;x;2.4606E-12;2.508E-12;6.45863E-11;x;x;8.57032E-11;3.11522E-11
417;Ethylene oxide;Air;high. pop.;kg;1.52945E-07;x;1.4883E-09;1.51702E-09;4.36986E-08;x;x;7.71216E-08;2.9119E-08
418;Ethylene oxide;Air;low. pop.;kg;1.31456E-11;x;1.7352E-13;1.76862E-13;4.55462E-12;x;x;6.04377E-12;2.1968E-12
419;Ethylene oxide;Air;stratosphere + troposphere;kg;7.98876E-11;x;1.0545E-12;1.07484E-12;2.76789E-11;x;x;3.6729E-11;1.33503E-11
420;Ethylene oxide;Eau;river;kg;5.80408E-09;x;2.038E-11;2.0772E-11;2.29481E-10;x;x;2.75423E-09;2.77922E-09
421;Ethyne;Air;;kg;1.31543E-08;x;1.3739E-10;1.4004E-10;3.62555E-09;x;x;4.60305E-09;4.64831E-09
422;Ethyne;Air;high. pop.;kg;7.32248E-06;x;3.6795E-09;3.7504E-09;1.02408E-07;x;x;2.72862E-06;4.48403E-06
423;Ethyne;Air;low. pop.;kg;4.43349E-06;x;7.1102E-09;7.2472E-09;2.10581E-07;x;x;1.28585E-06;2.9227E-06
424;Feldspar;Brut;in ground;kg;2.73689E-09;x;2.4771E-11;2.5248E-11;4.36855E-10;x;x;1.59038E-09;6.59636E-10
425;Fenpiclonil;Sol;agricultural;kg;9.5025E-09;x;9.2927E-12;9.4718E-12;1.62771E-10;x;x;5.57582E-09;3.74514E-09
426;Fluoride;Eau;;kg;2.36001E-06;x;5.1235E-08;5.2222E-08;1.83459E-06;x;x;2.94945E-07;1.27017E-07
427;Fluoride;Eau;groundwater;kg;4.16286E-05;x;1.4199E-07;1.44732E-07;4.22178E-06;x;x;1.87629E-05;1.83572E-05
428;Fluoride;Eau;ocean;kg;9.55095E-05;x;0.000001971;0.000002009;8.34528E-05;x;x;4.85038E-06;3.22629E-06
429;Fluoride;Eau;river;kg;0.000150151;x;0.000003517;3.5848E-06;8.12382E-05;x;x;4.87357E-05;1.30754E-05
430;Fluoride;Sol;;kg;4.7056E-06;x;5.1186E-08;5.2172E-08;1.11158E-06;x;x;0.000002226;1.26466E-06
431;Fluoride;Sol;industrial;kg;6.13633E-05;x;1.4841E-06;1.51274E-06;5.3805E-05;x;x;2.89358E-06;1.66789E-06
432;Fluorine;Air;;kg;1.26425E-10;x;2.1117E-12;2.1524E-12;5.39524E-11;x;x;3.28931E-11;3.53158E-11
433;Fluorine;Air;high. pop.;kg;1.12899E-07;x;1.099E-09;1.1202E-09;3.32776E-08;x;x;4.20621E-08;3.53398E-08
434;Fluorine;Air;low. pop.;kg;2.96166E-06;x;2.0795E-09;2.1196E-09;5.0113E-08;x;x;1.42961E-06;1.47774E-06
435;Fluorine, 4.5% in apatite, 1% in crude ore, in ground;Brut;in ground;kg;0.000152695;x;2.7861E-06;2.8398E-06;9.94594E-05;x;x;2.34613E-05;2.41488E-05
436;Fluorine, 4.5% in apatite, 3% in crude ore, in ground;Brut;in ground;kg;7.50634E-05;x;1.2344E-06;1.25818E-06;4.38689E-05;x;x;1.29969E-05;1.5705E-05
437;Fluorspar;Brut;in ground;kg;0.004149225;x;0.000080865;0.000082424;0.002876918;x;x;0.000778327;0.000330691
438;Fluosilicic acid;Air;high. pop.;kg;2.82415E-06;x;1.8745E-09;1.9106E-09;2.88655E-08;x;x;2.72243E-06;6.90679E-08
439;Fluosilicic acid;Eau;river;kg;5.08361E-06;x;3.374E-09;3.439E-09;5.19574E-08;x;x;4.90051E-06;1.24324E-07
440;Formaldehyde;Air;;kg;9.76492E-05;x;1.4442E-06;0.000082136;5.83194E-07;x;x;5.51708E-06;7.96869E-06
441;Formaldehyde;Air;high. pop.;kg;1.744E-05;x;1.8096E-07;1.84444E-07;4.86912E-06;x;x;6.60402E-06;5.60143E-06
442;Formaldehyde;Air;low. pop.;kg;3.42078E-06;x;4.4982E-08;4.585E-08;1.3696E-06;x;x;1.05552E-06;9.04835E-07
443;Formaldehyde;Air;stratosphere + troposphere;kg;6.88733E-11;x;9.0911E-13;9.2664E-13;2.38627E-11;x;x;3.16653E-11;1.15096E-11
444;Formaldehyde;Eau;;kg;1.78692E-06;x;1.5148E-08;1.54396E-08;4.38951E-07;x;x;8.43296E-07;4.74081E-07
445;Formaldehyde;Eau;river;kg;1.74668E-07;x;1.2008E-10;1.224E-10;1.52934E-09;x;x;1.38222E-07;3.46746E-08
446;Formamide;Air;high. pop.;kg;1.75505E-11;x;1.7033E-14;1.7361E-14;2.91878E-13;x;x;1.00274E-11;7.19687E-12
447;Formamide;Eau;river;kg;4.21226E-11;x;4.088E-14;4.1668E-14;7.0054E-13;x;x;2.40664E-11;1.72731E-11
448;Formate;Eau;river;kg;1.78976E-08;x;1.4338E-11;1.46142E-11;1.33517E-10;x;x;6.27145E-09;1.14637E-08
449;Formic acid;Air;high. pop.;kg;3.66602E-09;x;3.2576E-11;3.3204E-11;3.37297E-10;x;x;2.46097E-09;8.01975E-10
450;Formic acid;Air;low. pop.;kg;1.97576E-07;x;4.6422E-09;4.7316E-09;1.54879E-07;x;x;2.39361E-08;9.38653E-09
451;Formic acid;Eau;river;kg;1.22276E-11;x;1.1867E-14;1.20954E-14;2.03351E-13;x;x;6.98606E-12;5.01424E-12
452;Furan;Air;;kg;1.36313E-16;x;7.4532E-20;7.5968E-20;1.60344E-18;x;x;1.11905E-16;2.2654E-17
453;Furan;Air;low. pop.;kg;5.61038E-08;x;1.3182E-09;1.34358E-09;4.39803E-08;x;x;6.79637E-09;2.66537E-09
454;Gallium;Brut;in ground;kg;7.6508E-11;x;6.0177E-13;6.1338E-13;1.72907E-11;x;x;2.6935E-11;3.10671E-11
455;Gas, mine, off-gas, process, coal mining/m3;Brut;in ground;m3;0.078392811;x;0.00025707;0.00026202;0.007756913;x;x;0.024170208;0.0459466
456;Gas, natural/m3;Brut;in ground;m3;4.11352857;x;0.097179;0.099052;1.86345432;x;x;1.05980125;0.994042
457;Glutaraldehyde;Eau;ocean;kg;1.19582E-06;x;2.4442E-08;2.4912E-08;1.04419E-06;x;x;6.13431E-08;4.09331E-08
458;Glyphosate;Sol;agricultural;kg;1.0158E-07;x;3.3956E-09;3.461E-09;6.15986E-08;x;x;1.84144E-08;1.47101E-08
459;Glyphosate;Sol;industrial;kg;4.10664E-07;x;1.0933E-08;1.1144E-08;8.50319E-08;x;x;1.16872E-07;1.86684E-07
460;Gold;Brut;in ground;kg;1.27325E-08;x;1.1327E-10;1.15456E-10;1.17418E-09;x;x;8.54559E-09;2.78399E-09
461;Gold, Au 1.1E-4%, Ag 4.2E-3%, in ore, in ground;Brut;in ground;kg;5.79909E-09;x;5.1589E-11;5.2584E-11;5.34774E-10;x;x;3.89219E-09;1.26795E-09
462;Gold, Au 1.3E-4%, Ag 4.6E-5%, in ore, in ground;Brut;in ground;kg;1.06342E-08;x;9.4604E-11;9.6428E-11;9.80671E-10;x;x;7.13733E-09;2.32515E-09
463;Gold, Au 2.1E-4%, Ag 2.1E-4%, in ore, in ground;Brut;in ground;kg;1.94474E-08;x;1.7301E-10;1.76346E-10;1.79345E-09;x;x;1.30526E-08;4.25204E-09
464;Gold, Au 4.3E-4%, in ore, in ground;Brut;in ground;kg;4.81993E-09;x;4.2879E-11;4.3706E-11;4.44488E-10;x;x;3.23499E-09;1.05387E-09
465;Gold, Au 4.9E-5%, in ore, in ground;Brut;in ground;kg;1.15443E-08;x;1.027E-10;1.0468E-10;1.0646E-09;x;x;7.74816E-09;2.52418E-09
466;Gold, Au 6.7E-4%, in ore, in ground;Brut;in ground;kg;1.78726E-08;x;1.59E-10;1.62064E-10;1.64819E-09;x;x;1.19954E-08;3.90794E-09
467;Gold, Au 7.1E-4%, in ore, in ground;Brut;in ground;kg;2.01529E-08;x;1.7929E-10;1.82742E-10;1.85851E-09;x;x;1.3526E-08;4.40633E-09
468;Gold, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Cu 0.38%, Pb 0.014%, in ore, in ground;Brut;in ground;kg;1.2076E-09;x;1.0743E-11;1.09504E-11;1.11364E-10;x;x;8.10503E-10;2.64043E-10
469;Granite;Brut;in ground;kg;2.93214E-10;x;9.4203E-14;9.6018E-14;1.85576E-12;x;x;2.8037E-10;1.07977E-11
470;Gravel;Brut;in ground;kg;4.681859127;x;0.11207;0.11423;1.41428196;x;x;1.422564167;1.618713
471;Gypsum;Brut;in ground;kg;3.70412E-06;x;5.669E-08;5.7782E-08;9.16756E-07;x;x;1.60411E-06;1.06878E-06
472;Heat, waste;Air;;MJ;259.0385541;x;55.657;56.364;23.7588624;x;x;43.59029167;79.6684
473;Heat, waste;Air;high. pop.;MJ;353.145463;x;3.6114;3.681;109.952388;x;x;131.009375;104.8913
474;Heat, waste;Air;low. pop.;MJ;1717.012779;x;4.7239;4.815;104.252148;1493.655172;x;52.53845833;57.0281
475;Heat, waste;Air;stratosphere + troposphere;MJ;1.99393E-05;x;2.632E-07;2.6828E-07;6.90843E-06;x;x;9.16723E-06;3.33218E-06
476;Heat, waste;Eau;;MJ;1.469981677;x;0.00051229;0.00052216;0.004525794;x;x;1.190203333;0.2742181
477;Heat, waste;Eau;ocean;MJ;0.00316666;x;0.000016603;1.69228E-05;0.000423751;x;x;0.001284588;0.001424796
478;Heat, waste;Eau;river;MJ;43.58913387;x;0.99035;1.00944;30.1300272;x;x;7.541016667;3.9183
479;Heat, waste;Sol;;MJ;0.708365989;x;0.013935;0.014204;0.266358456;x;x;0.212936333;0.2009322
480;Heat, waste;Sol;industrial;MJ;0.015177872;x;0.00030891;0.00031486;0.012858955;x;x;0.0011306;0.000564546
481;Helium;Air;;kg;1.35637E-13;x;6.0144E-16;6.1302E-16;1.79456E-14;x;x;4.30426E-14;7.34339E-14
482;Helium;Air;low. pop.;kg;0.000114354;x;6.9472E-06;0.000007081;8.71744E-05;x;x;7.70024E-06;5.45121E-06
483;Heptane;Air;high. pop.;kg;0.000561696;x;0.000018133;1.84822E-05;0.00048226;x;x;2.67098E-05;1.61109E-05
484;Hexane;Air;;kg;1.37528E-07;x;7.5196E-11;7.6646E-11;1.61769E-09;x;x;1.12903E-07;2.28556E-08
485;Hexane;Air;high. pop.;kg;0.001224667;x;0.000038893;0.000039642;0.001037509;x;x;6.49405E-05;4.36822E-05
486;Hexane;Air;low. pop.;kg;4.32744E-06;x;2.6424E-08;2.6934E-08;7.12235E-07;x;x;1.67637E-06;1.88548E-06
487;Hydrocarbons, aliphatic, alkanes, cyclic;Air;high. pop.;kg;2.19334E-07;x;1.9889E-09;2.0272E-09;5.88108E-08;x;x;9.81096E-08;5.83971E-08
488;Hydrocarbons, aliphatic, alkanes, cyclic;Air;low. pop.;kg;2.16662E-09;x;7.947E-12;8.1002E-12;2.01412E-10;x;x;1.17989E-09;7.69267E-10
489;Hydrocarbons, aliphatic, alkanes, unspecified;Air;;kg;0.001102725;x;1.3127E-06;1.33802E-06;3.51449E-05;x;x;0.000328666;0.000736263
490;Hydrocarbons, aliphatic, alkanes, unspecified;Air;high. pop.;kg;0.000104819;x;2.0796E-06;2.1196E-06;5.70024E-05;x;x;2.08361E-05;2.27813E-05
491;Hydrocarbons, aliphatic, alkanes, unspecified;Air;low. pop.;kg;3.64077E-05;x;3.7057E-07;3.7772E-07;1.32491E-05;x;x;1.0816E-05;1.15943E-05
492;Hydrocarbons, aliphatic, alkanes, unspecified;Eau;ocean;kg;0.000113146;x;2.3652E-06;2.4108E-06;0.000101225;x;x;4.70309E-06;2.44145E-06
493;Hydrocarbons, aliphatic, alkanes, unspecified;Eau;river;kg;0.000234984;x;7.2779E-06;7.4182E-06;0.000199856;x;x;1.33465E-05;7.08587E-06
494;Hydrocarbons, aliphatic, unsaturated;Air;;kg;6.39588E-15;x;3.3533E-17;3.418E-17;8.55888E-16;x;x;2.59457E-15;2.87771E-15
495;Hydrocarbons, aliphatic, unsaturated;Air;high. pop.;kg;1.54858E-05;x;8.1416E-08;8.2986E-08;2.43351E-06;x;x;5.78539E-06;7.10252E-06
496;Hydrocarbons, aliphatic, unsaturated;Air;low. pop.;kg;1.48021E-05;x;1.2995E-07;1.32458E-07;4.038E-06;x;x;4.70198E-06;5.79975E-06
497;Hydrocarbons, aliphatic, unsaturated;Eau;ocean;kg;1.04445E-05;x;2.1832E-07;2.2254E-07;9.34413E-06;x;x;4.34136E-07;2.25367E-07
498;Hydrocarbons, aliphatic, unsaturated;Eau;river;kg;2.16913E-05;x;6.7181E-07;6.8476E-07;1.84485E-05;x;x;1.23205E-06;6.54197E-07
499;Hydrocarbons, aromatic;Air;;kg;3.91372E-05;x;3.447E-07;3.5134E-07;9.87059E-06;x;x;1.07051E-05;1.78655E-05
500;Hydrocarbons, aromatic;Air;high. pop.;kg;3.58427E-05;x;5.9741E-08;6.0892E-08;1.38857E-06;x;x;2.8843E-05;5.49043E-06
501;Hydrocarbons, aromatic;Air;low. pop.;kg;1.34741E-05;x;1.2753E-07;1.29992E-07;4.86027E-06;x;x;3.83124E-06;4.5251E-06
502;Hydrocarbons, aromatic;Eau;ocean;kg;0.000479186;x;0.00001001;1.02034E-05;0.000428403;x;x;2.00537E-05;1.05161E-05
503;Hydrocarbons, aromatic;Eau;river;kg;0.000949482;x;0.000029493;0.000030062;0.00080737;x;x;5.38878E-05;2.86695E-05
504;Hydrocarbons, chlorinated;Air;;kg;9.36741E-07;x;3.7972E-09;3.8704E-09;9.39983E-08;x;x;7.80867E-07;5.42087E-08
505;Hydrocarbons, chlorinated;Air;high. pop.;kg;1.79068E-08;x;1.662E-10;1.69404E-10;3.32645E-09;x;x;1.03087E-08;3.93606E-09
506;Hydrocarbons, chlorinated;Air;low. pop.;kg;7.59246E-10;x;2.7849E-12;2.8386E-12;7.05814E-11;x;x;4.13466E-10;2.69575E-10
507;Hydrocarbons, unspecified;Eau;;kg;2.7444E-06;x;3.1326E-08;3.193E-08;9.87747E-07;x;x;6.08484E-07;1.08491E-06
508;Hydrocarbons, unspecified;Eau;ocean;kg;0.000181632;x;3.7136E-06;3.7852E-06;0.000158614;x;x;9.31078E-06;6.2086E-06
509;Hydrocarbons, unspecified;Eau;river;kg;1.30327E-05;x;1.1716E-07;1.1942E-07;2.84131E-06;x;x;7.62957E-06;2.32527E-06
510;Hydrogen;Air;;kg;2.19173E-06;x;2.151E-08;2.1924E-08;6.36527E-07;x;x;1.09659E-06;4.15177E-07
511;Hydrogen;Air;high. pop.;kg;0.000150759;x;2.2529E-06;2.2962E-06;7.90499E-05;x;x;4.98421E-05;1.73179E-05
512;Hydrogen-3, Tritium;Air;low. pop.;Bq;1990.34551;x;14.988;15.2764;427.87836;x;x;734.77875;797.424
513;Hydrogen-3, Tritium;Eau;ocean;Bq;143241.5851;x;1026.7;1046.46;28946.4084;x;x;53454.91667;58767.1
514;Hydrogen-3, Tritium;Eau;river;Bq;16338.47857;x;111.11;113.252;3091.3974;x;x;6195.479167;6827.24
515;Hydrogen chloride;Air;;kg;0.000379245;x;1.8226E-06;1.8577E-06;4.90024E-05;x;x;0.000106349;0.000220213
516;Hydrogen chloride;Air;high. pop.;kg;0.000638199;x;2.2852E-06;2.3292E-06;7.11351E-05;x;x;0.000213292;0.000349158
517;Hydrogen chloride;Air;low. pop.;kg;0.000479891;x;6.0029E-06;6.1186E-06;0.00018818;x;x;0.000147307;0.000132282
518;Hydrogen chloride;Air;stratosphere + troposphere;kg;3.76054E-13;x;4.9639E-15;5.0596E-15;1.30293E-13;x;x;1.72893E-13;6.28445E-14
519;Hydrogen fluoride;Air;;kg;0.000117086;x;1.3744E-07;1.40092E-07;3.50827E-06;x;x;6.84782E-05;4.48218E-05
520;Hydrogen fluoride;Air;high. pop.;kg;2.57905E-05;x;2.0907E-07;2.131E-07;6.58116E-06;x;x;7.49221E-06;1.1295E-05
521;Hydrogen fluoride;Air;low. pop.;kg;0.000104508;x;1.2479E-06;1.27192E-06;3.8991E-05;x;x;3.45715E-05;2.84256E-05
522;Hydrogen peroxide;Air;high. pop.;kg;4.40397E-09;x;3.9159E-11;3.9914E-11;4.08714E-10;x;x;2.94967E-09;9.66514E-10
