SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:47;;;
Projet;_Forest resources database;;;;;;;
;;;;;;;;
;;;;;;;;
Calculation: ;Analyser;;;;;;;
Results: ;Inventaire;;;;;;;
Product: ;1 m3 _Oak logs for timber, manually felled, 80% water on dry mass basis, in forest/FR U (of project _Forest resources database);;;;;;;
Méthode: ;;;;;;;;
Indicateur: ;Inventaire;;;;;;;
Unité: ;?;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;
Per sub-compartment: ;Oui;;;;;;;
Default units: ;Non;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;
Sorted on item: ;Substance;;;;;;;
Sort order: ;Croissant;;;;;;;
;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak logs for timber, manually felled, 80% water on dry mass basis, in forest/FR U;_Power sawing, without catalytic converter/hr/RER_357XP/Husqvarna U (2009);Operation, passenger car, diesel, fleet average/RER S
138;Benzene, ethyl-;Air;high. pop.;kg;4.03526E-06;x;3.93666E-06;9.85986E-08
139;Benzene, ethyl-;Air;low. pop.;kg;1.00152E-12;x;9.31396E-13;7.01256E-14
140;Benzene, ethyl-;Eau;;kg;9.59005E-13;x;9.14526E-13;4.4479E-14
141;Benzene, ethyl-;Eau;ocean;kg;2.93205E-07;x;2.69475E-07;2.37306E-08
142;Benzene, ethyl-;Eau;river;kg;6.052E-07;x;5.32186E-07;7.30139E-08
143;Benzene, hexachloro-;Air;;kg;6.66662E-11;x;6.18112E-11;4.85498E-12
144;Benzene, hexachloro-;Air;high. pop.;kg;6.11713E-13;x;5.762E-13;3.55132E-14
145;Benzene, pentachloro-;Air;high. pop.;kg;1.53522E-12;x;1.44609E-12;8.91275E-14
146;Benzo(a)pyrene;Air;;kg;3.92581E-10;x;3.77589E-10;1.49919E-11
147;Benzo(a)pyrene;Air;high. pop.;kg;1.77843E-11;x;1.67755E-11;1.00889E-12
148;Benzo(a)pyrene;Air;low. pop.;kg;1.42194E-09;x;1.32865E-09;9.32889E-11
149;Beryllium;Air;;kg;8.56045E-12;x;7.5886E-12;9.71848E-13
150;Beryllium;Air;high. pop.;kg;6.09083E-11;x;6.01789E-11;7.29435E-13
151;Beryllium;Air;low. pop.;kg;4.44807E-11;x;4.35992E-11;8.81445E-13
152;Beryllium;Eau;;kg;1.01994E-13;x;9.72635E-14;4.73044E-15
153;Beryllium;Eau;groundwater;kg;3.06998E-10;x;2.90513E-10;1.64857E-11
154;Beryllium;Eau;river;kg;1.8643E-11;x;1.73667E-11;1.27636E-12
155;BOD5, Biological Oxygen Demand;Eau;;kg;1.79683E-06;x;1.6939E-06;1.02928E-07
156;BOD5, Biological Oxygen Demand;Eau;groundwater;kg;3.31896E-09;x;3.11304E-09;2.05917E-10
157;BOD5, Biological Oxygen Demand;Eau;ocean;kg;0.001232334;x;0.001111895;0.000120439
158;BOD5, Biological Oxygen Demand;Eau;river;kg;0.006650263;x;0.006106561;0.000543702
159;Borate;Eau;river;kg;1.27313E-12;x;1.14903E-12;1.24096E-13
160;Borax;Brut;in ground;kg;2.19589E-09;x;1.89901E-09;2.96886E-10
161;Boron;Air;;kg;8.29049E-17;x;7.69943E-17;5.91063E-18
162;Boron;Air;high. pop.;kg;2.18824E-08;x;2.16642E-08;2.18221E-10
163;Boron;Air;low. pop.;kg;7.27444E-07;x;6.81518E-07;4.59258E-08
164;Boron;Eau;;kg;3.1945E-11;x;3.04634E-11;1.4816E-12
165;Boron;Eau;groundwater;kg;4.91061E-07;x;4.78742E-07;1.2319E-08
166;Boron;Eau;ocean;kg;1.01221E-07;x;9.31377E-08;8.08345E-09
167;Boron;Eau;river;kg;1.65922E-07;x;1.47069E-07;1.88527E-08
168;Boron;Sol;;kg;7.25634E-09;x;6.52877E-09;7.2757E-10
169;Boron;Sol;agricultural;kg;1.28722E-10;x;1.13093E-10;1.56295E-11
170;Boron;Sol;industrial;kg;1.71986E-07;x;1.55857E-07;1.61285E-08
171;Boron trifluoride;Air;high. pop.;kg;1.21276E-17;x;1.20018E-17;1.25759E-19
172;Bromate;Eau;river;kg;4.23203E-08;x;3.92166E-08;3.10362E-09
173;Bromide;Eau;river;kg;2.0947E-10;x;1.88669E-10;2.08006E-11
174;Bromine;Brut;in water;kg;2.058E-10;x;1.85359E-10;2.04413E-11
175;Bromine;Air;;kg;6.79934E-17;x;6.31559E-17;4.83749E-18
176;Bromine;Air;high. pop.;kg;2.1011E-09;x;1.99635E-09;1.04749E-10
177;Bromine;Air;low. pop.;kg;7.95479E-08;x;7.45287E-08;5.01917E-09
178;Bromine;Eau;;kg;2.18101E-09;x;2.07986E-09;1.01155E-10
179;Bromine;Eau;groundwater;kg;2.0993E-08;x;1.96666E-08;1.32636E-09
180;Bromine;Eau;ocean;kg;8.55025E-06;x;7.85823E-06;6.92022E-07
181;Bromine;Eau;river;kg;1.7812E-05;x;1.56726E-05;2.13935E-06
182;Butadiene;Air;;kg;1.61063E-12;x;1.5968E-12;1.38308E-14
183;Butadiene;Air;high. pop.;kg;3.99079E-15;x;3.66465E-15;3.26142E-16
184;Butadiene;Air;low. pop.;kg;1.13581E-13;x;1.12605E-13;9.75378E-16
185;Butadiene;Air;stratosphere + troposphere;kg;6.90284E-13;x;6.84357E-13;5.92769E-15
186;Butane;Air;;kg;1.02872E-10;x;9.81011E-11;4.77128E-12
187;Butane;Air;high. pop.;kg;3.48769E-05;x;3.06449E-05;4.23199E-06
188;Butane;Air;low. pop.;kg;1.03392E-06;x;9.58164E-07;7.57573E-08
189;Butene;Air;high. pop.;kg;8.05104E-07;x;7.06574E-07;9.85304E-08
190;Butene;Eau;river;kg;2.42024E-09;x;2.41817E-09;2.07015E-12
191;Butyl acetate;Eau;river;kg;6.43838E-10;x;6.3711E-10;6.72766E-12
192;Butyrolactone;Air;high. pop.;kg;4.55524E-13;x;4.50717E-13;4.80732E-15
193;Butyrolactone;Eau;river;kg;1.09327E-12;x;1.08173E-12;1.15374E-14
194;Cadmium;Brut;in ground;kg;1.62243E-08;x;1.08234E-08;5.40088E-09
195;Cadmium;Air;;kg;1.06149E-09;x;2.48388E-10;8.13101E-10
196;Cadmium;Air;high. pop.;kg;3.13771E-08;x;2.91188E-08;2.25833E-09
197;Cadmium;Air;low. pop.;kg;7.69681E-09;x;7.46378E-09;2.3303E-10
198;Cadmium;Air;stratosphere + troposphere;kg;3.65228E-16;x;3.62092E-16;3.13636E-18
199;Cadmium;Sol;;kg;1.11276E-10;x;5.40382E-12;1.05872E-10
200;Cadmium;Sol;agricultural;kg;7.17289E-11;x;6.84706E-11;3.25833E-12
201;Cadmium, ion;Eau;;kg;2.36173E-09;x;2.07942E-09;2.8231E-10
202;Cadmium, ion;Eau;groundwater;kg;4.33596E-10;x;4.17021E-10;1.65742E-11
203;Cadmium, ion;Eau;lake;kg;2.99338E-15;x;2.96178E-15;3.15992E-17
204;Cadmium, ion;Eau;ocean;kg;3.32944E-09;x;3.06507E-09;2.64366E-10
205;Cadmium, ion;Eau;river;kg;3.84822E-09;x;3.4424E-09;4.0582E-10
206;Calcite;Brut;in ground;kg;0.00709373;x;0.006474924;0.000618806
207;Calcium;Air;high. pop.;kg;2.91753E-07;x;2.75476E-07;1.62767E-08
208;Calcium;Air;low. pop.;kg;5.31526E-09;x;4.88725E-09;4.28018E-10
209;Calcium;Sol;agricultural;kg;8.71615E-07;x;8.19494E-07;5.21205E-08
210;Calcium;Sol;industrial;kg;6.87956E-05;x;6.23441E-05;6.45152E-06
211;Calcium, ion;Eau;;kg;3.27151E-08;x;3.11978E-08;1.51732E-09
212;Calcium, ion;Eau;groundwater;kg;2.22199E-05;x;2.09229E-05;1.29694E-06
213;Calcium, ion;Eau;lake;kg;1.06279E-08;x;1.02916E-08;3.36261E-10
214;Calcium, ion;Eau;ocean;kg;0.000387151;x;0.000355822;3.13294E-05
215;Calcium, ion;Eau;river;kg;0.000790835;x;0.000696804;9.4031E-05
216;Carbetamide;Sol;agricultural;kg;3.98915E-12;x;3.10311E-12;8.8604E-13
217;Carbofuran;Sol;agricultural;kg;4.54847E-10;x;4.1063E-10;4.42167E-11
218;Carbon;Sol;agricultural;kg;3.34563E-07;x;3.13975E-07;2.05874E-08
219;Carbon;Sol;industrial;kg;5.15962E-05;x;4.67575E-05;4.83866E-06
220;Carbon-14;Air;low. pop.;Bq;2.069970778;x;1.91880384;0.151166938
221;Carbon dioxide, biogenic;Air;;kg;0.000161859;x;0.000149006;1.28531E-05
222;Carbon dioxide, biogenic;Air;high. pop.;kg;0.002723134;x;0.002574835;0.000148299
223;Carbon dioxide, biogenic;Air;low. pop.;kg;0.000569041;x;0.000545645;2.33958E-05
224;Carbon dioxide, fossil;Air;;kg;0.223848088;x;0.01479673;0.209051358
225;Carbon dioxide, fossil;Air;high. pop.;kg;0.204974902;x;0.19130292;0.013671982
226;Carbon dioxide, fossil;Air;low. pop.;kg;0.636244601;x;0.619530728;0.016713873
227;Carbon dioxide, fossil;Air;stratosphere + troposphere;kg;1.15044E-07;x;1.14056E-07;9.87948E-10
228;Carbon dioxide, in air;Brut;in air;kg;0.003624738;x;0.003440604;0.000184134
229;Carbon dioxide, land transformation;Air;low. pop.;kg;1.12306E-05;x;1.03403E-05;8.9022E-07
230;Carbon disulfide;Air;;kg;1.33312E-18;x;1.27129E-18;6.18305E-20
231;Carbon disulfide;Air;high. pop.;kg;7.47617E-13;x;7.06907E-13;4.07099E-14
232;Carbon disulfide;Air;low. pop.;kg;7.7076E-07;x;7.53623E-07;1.71372E-08
233;Carbon disulfide;Eau;river;kg;6.46365E-13;x;6.07447E-13;3.89187E-14
234;Carbon monoxide, biogenic;Air;high. pop.;kg;3.48166E-07;x;3.31618E-07;1.65486E-08
235;Carbon monoxide, biogenic;Air;low. pop.;kg;7.61989E-06;x;7.60309E-06;1.67949E-08
236;Carbon monoxide, fossil;Air;;kg;0.000391003;x;0.00020222;0.000188783
237;Carbon monoxide, fossil;Air;high. pop.;kg;5.92682E-05;x;5.59726E-05;3.29554E-06
238;Carbon monoxide, fossil;Air;low. pop.;kg;0.220223205;x;0.220197684;2.55207E-05
239;Carbon monoxide, fossil;Air;stratosphere + troposphere;kg;1.35131E-10;x;1.3397E-10;1.16046E-12
