SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:46;;;;
Projet;_Forest resources database;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Calculation: ;Analyser;;;;;;;;
Results: ;Inventaire;;;;;;;;
Product: ;1 m3 _Oak harvesting wood, stemwood, over bark, mechanically felled, 80% water on dry mass basis, in forest/FR U (of project _Forest resources database);;;;;;;;
Méthode: ;;;;;;;;;
Indicateur: ;Inventaire;;;;;;;;
Unité: ;?;;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;;
Per sub-compartment: ;Oui;;;;;;;;
Default units: ;Non;;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;;
Sorted on item: ;Substance;;;;;;;;
Sort order: ;Croissant;;;;;;;;
;;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak harvesting wood, stemwood, over bark, mechanically felled, 80% water on dry mass basis, in forest/FR U;_Hardwood, stemwood, diameter>7 cm , mechanically felling, in forest/FR U;Operation, lorry >28t, fleet average/CH S;Operation, passenger car, diesel, fleet average/RER S
458;Glyphosate;Sol;agricultural;kg;4.0397E-09;x;3.9378E-09;6.29448E-12;9.56077E-11
459;Glyphosate;Sol;industrial;kg;1.11436E-08;x;1.08155E-08;2.02668E-11;3.07845E-10
460;Gold;Brut;in ground;kg;8.11874E-10;x;8.08475E-10;2.09976E-13;3.18939E-12
461;Gold, Au 1.1E-4%, Ag 4.2E-3%, in ore, in ground;Brut;in ground;kg;3.69757E-10;x;3.68209E-10;9.56275E-14;1.4526E-12
462;Gold, Au 1.3E-4%, Ag 4.6E-5%, in ore, in ground;Brut;in ground;kg;6.78055E-10;x;6.75216E-10;1.75367E-13;2.66376E-12
463;Gold, Au 2.1E-4%, Ag 2.1E-4%, in ore, in ground;Brut;in ground;kg;1.24004E-09;x;1.23485E-09;3.2071E-13;4.87144E-12
464;Gold, Au 4.3E-4%, in ore, in ground;Brut;in ground;kg;3.07329E-10;x;3.06042E-10;7.9487E-14;1.20735E-12
465;Gold, Au 4.9E-5%, in ore, in ground;Brut;in ground;kg;7.36104E-10;x;7.33022E-10;1.90379E-13;2.89171E-12
466;Gold, Au 6.7E-4%, in ore, in ground;Brut;in ground;kg;1.13961E-09;x;1.13484E-09;2.94736E-13;4.47691E-12
467;Gold, Au 7.1E-4%, in ore, in ground;Brut;in ground;kg;1.28503E-09;x;1.27965E-09;3.32344E-13;5.04812E-12
468;Gold, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Cu 0.38%, Pb 0.014%, in ore, in ground;Brut;in ground;kg;7.70008E-11;x;7.66784E-11;1.99148E-14;3.02497E-13
469;Granite;Brut;in ground;kg;6.22469E-13;x;6.19642E-13;1.74625E-16;2.65243E-15
470;Gravel;Brut;in ground;kg;0.130158264;x;0.126794996;0.000207743;0.003155525
471;Gypsum;Brut;in ground;kg;8.9306E-08;x;8.76047E-08;1.05083E-10;1.59619E-09
472;Heat, waste;Air;;MJ;83.36890205;x;81.70937561;0.102509866;1.557016575
473;Heat, waste;Air;high. pop.;MJ;10.97568818;x;10.8673087;0.006694396;0.101685083
474;Heat, waste;Air;low. pop.;MJ;7.926014064;x;7.784246108;0.008756906;0.13301105
475;Heat, waste;Air;stratosphere + troposphere;MJ;1.16686E-06;x;1.15896E-06;4.87885E-10;7.41105E-09
476;Heat, waste;Eau;;MJ;0.000381768;x;0.000366394;9.49645E-07;1.44243E-05
477;Heat, waste;Eau;ocean;MJ;5.04502E-05;x;4.9952E-05;3.07766E-08;4.67481E-07
478;Heat, waste;Eau;river;MJ;2.150260916;x;2.12054;0.001835833;0.027885083
479;Heat, waste;Sol;;MJ;0.024233246;x;0.023815039;2.58319E-05;0.000392376
480;Heat, waste;Sol;industrial;MJ;0.000781026;x;0.000771756;5.7262E-07;8.69779E-06
481;Helium;Air;;kg;1.52042E-15;x;1.50237E-15;1.11492E-18;1.69343E-17
482;Helium;Air;low. pop.;kg;5.3528E-06;x;5.14431E-06;1.28777E-08;1.95608E-07
483;Heptane;Air;high. pop.;kg;2.88948E-05;x;2.83506E-05;3.36125E-08;5.10558E-07
484;Hexane;Air;;kg;1.78334E-10;x;1.76077E-10;1.39392E-13;2.11729E-12
485;Hexane;Air;high. pop.;kg;6.25624E-05;x;6.13952E-05;7.20955E-08;1.09508E-06
486;Hexane;Air;low. pop.;kg;8.32412E-08;x;8.24481E-08;4.89826E-11;7.44033E-10
487;Hydrocarbons, aliphatic, alkanes, cyclic;Air;high. pop.;kg;3.92899E-09;x;3.86931E-09;3.68682E-12;5.6E-11
488;Hydrocarbons, aliphatic, alkanes, cyclic;Air;low. pop.;kg;2.38351E-11;x;2.35966E-11;1.47316E-14;2.23762E-13
489;Hydrocarbons, aliphatic, alkanes, unspecified;Air;;kg;1.74947E-05;x;1.74553E-05;2.43339E-09;3.69619E-08
490;Hydrocarbons, aliphatic, alkanes, unspecified;Air;high. pop.;kg;3.65608E-06;x;3.59367E-06;3.85493E-09;5.85525E-08
491;Hydrocarbons, aliphatic, alkanes, unspecified;Air;low. pop.;kg;1.85867E-06;x;1.84755E-06;6.86922E-10;1.04343E-08
492;Hydrocarbons, aliphatic, alkanes, unspecified;Eau;ocean;kg;6.0146E-06;x;5.94362E-06;4.38429E-09;6.65967E-08
493;Hydrocarbons, aliphatic, alkanes, unspecified;Eau;river;kg;1.19671E-05;x;1.17487E-05;1.34909E-08;2.04923E-07
494;Hydrocarbons, aliphatic, unsaturated;Air;;kg;1.01897E-16;x;1.00891E-16;6.2161E-20;9.44199E-19
495;Hydrocarbons, aliphatic, unsaturated;Air;high. pop.;kg;3.21929E-07;x;3.19486E-07;1.50923E-10;2.29243E-09
496;Hydrocarbons, aliphatic, unsaturated;Air;low. pop.;kg;5.34101E-07;x;5.30201E-07;2.40892E-10;3.65906E-09
497;Hydrocarbons, aliphatic, unsaturated;Eau;ocean;kg;5.55209E-07;x;5.48657E-07;4.04704E-10;6.14751E-09
498;Hydrocarbons, aliphatic, unsaturated;Eau;river;kg;1.10467E-06;x;1.08451E-06;1.2453E-09;1.8916E-08
499;Hydrocarbons, aromatic;Air;;kg;5.25927E-06;x;5.24892E-06;6.38966E-10;9.70552E-09
500;Hydrocarbons, aromatic;Air;high. pop.;kg;9.75383E-08;x;9.57455E-08;1.10742E-10;1.6821E-09
501;Hydrocarbons, aromatic;Air;low. pop.;kg;7.29797E-07;x;7.2597E-07;2.36409E-10;3.59094E-09
502;Hydrocarbons, aromatic;Eau;ocean;kg;2.54731E-05;x;2.51727E-05;1.85564E-08;2.81862E-07
503;Hydrocarbons, aromatic;Eau;river;kg;4.83482E-05;x;4.74631E-05;5.46717E-08;8.30442E-07
504;Hydrocarbons, chlorinated;Air;;kg;8.43632E-09;x;8.32236E-09;7.03883E-12;1.06917E-10
505;Hydrocarbons, chlorinated;Air;high. pop.;kg;7.93372E-10;x;7.88384E-10;3.08082E-13;4.67967E-12
506;Hydrocarbons, chlorinated;Air;low. pop.;kg;8.35259E-12;x;8.26902E-12;5.16227E-15;7.84144E-14
507;Hydrocarbons, unspecified;Eau;;kg;3.42766E-07;x;3.41826E-07;5.80679E-11;8.82044E-10
508;Hydrocarbons, unspecified;Eau;ocean;kg;9.66243E-06;x;9.55098E-06;6.88382E-09;1.04564E-07
509;Hydrocarbons, unspecified;Eau;river;kg;2.03909E-07;x;2.00393E-07;2.17182E-10;3.2989E-09
510;Hydrogen;Air;;kg;4.23688E-08;x;4.17233E-08;3.98737E-11;6.05635E-10
511;Hydrogen;Air;high. pop.;kg;5.13467E-06;x;5.06706E-06;4.17609E-09;6.34309E-08
512;Hydrogen-3, Tritium;Air;low. pop.;Bq;49.9913331;x;49.54155094;0.027782163;0.422
513;Hydrogen-3, Tritium;Eau;ocean;Bq;3381.922238;x;3351.111346;1.903157064;28.90773481
514;Hydrogen-3, Tritium;Eau;river;Bq;361.2667476;x;357.9322725;0.205966851;3.128508287
515;Hydrogen chloride;Air;;kg;8.93042E-06;x;8.87573E-06;3.37845E-09;5.13177E-08
516;Hydrogen chloride;Air;high. pop.;kg;8.35735E-06;x;8.28877E-06;4.23607E-09;6.43425E-08
517;Hydrogen chloride;Air;low. pop.;kg;2.11136E-05;x;2.09334E-05;1.11279E-08;1.69022E-07
518;Hydrogen chloride;Air;stratosphere + troposphere;kg;2.20067E-14;x;2.18578E-14;9.20126E-18;1.39768E-16
519;Hydrogen fluoride;Air;;kg;1.50427E-06;x;1.50014E-06;2.54775E-10;3.86994E-09
520;Hydrogen fluoride;Air;high. pop.;kg;5.2797E-07;x;5.21696E-07;3.87553E-10;5.88674E-09
521;Hydrogen fluoride;Air;low. pop.;kg;4.46743E-06;x;4.42998E-06;2.31318E-09;3.51359E-08
522;Hydrogen peroxide;Air;high. pop.;kg;2.80082E-10;x;2.78907E-10;7.25888E-14;1.1026E-12
523;Hydrogen peroxide;Eau;river;kg;2.54408E-09;x;2.53152E-09;7.75706E-13;1.17829E-11
524;Hydrogen sulfide;Air;;kg;1.49835E-06;x;1.4934E-06;3.05848E-10;4.64564E-09
525;Hydrogen sulfide;Air;high. pop.;kg;5.10808E-10;x;5.01399E-10;5.81215E-13;8.82818E-12
526;Hydrogen sulfide;Air;low. pop.;kg;4.70861E-06;x;4.69763E-06;6.78019E-10;1.02989E-08
527;Hydrogen sulfide;Eau;river;kg;1.31266E-07;x;1.30982E-07;1.75627E-11;2.66768E-10
528;Hydroxide;Eau;river;kg;7.97183E-09;x;7.93726E-09;2.13528E-12;3.24343E-11
529;Hypochlorite;Eau;ocean;kg;1.03119E-07;x;1.02263E-07;5.288E-11;8.03204E-10
530;Hypochlorite;Eau;river;kg;9.85244E-08;x;9.77076E-08;5.04507E-11;7.66354E-10
531;Indium;Brut;in ground;kg;1.07815E-09;x;1.02755E-09;3.12589E-12;4.74807E-11
532;Iodide;Eau;groundwater;kg;1.08237E-08;x;1.07347E-08;5.49874E-12;8.35249E-11
533;Iodide;Eau;ocean;kg;4.62671E-06;x;4.57211E-06;3.37253E-09;5.12271E-08
534;Iodide;Eau;river;kg;9.21579E-06;x;9.0477E-06;1.03828E-08;1.57707E-07
535;Iodine;Brut;in water;kg;2.91078E-10;x;2.87233E-10;2.37522E-13;3.60779E-12
536;Iodine;Air;;kg;1.37897E-16;x;1.36535E-16;8.412E-20;1.27779E-18
537;Iodine;Air;high. pop.;kg;1.28124E-09;x;1.27881E-09;1.50063E-13;2.27939E-12
538;Iodine;Air;low. pop.;kg;1.81443E-07;x;1.7995E-07;9.22178E-11;1.40072E-09
539;Iodine-129;Air;low. pop.;Bq;0.008745402;x;0.008665729;4.92139E-06;7.47514E-05
540;Iodine-131;Air;low. pop.;Bq;0.441919863;x;0.438284188;0.00022457;0.003411105
541;Iodine-131;Eau;river;Bq;0.000419199;x;0.000414348;2.99661E-07;4.55166E-06
542;Iodine-133;Air;low. pop.;Bq;1.9111E-05;x;1.87436E-05;2.2693E-08;3.44691E-07
543;Iodine-133;Eau;river;Bq;1.21121E-05;x;1.17485E-05;2.24609E-08;3.41171E-07
544;Iodine-135;Air;low. pop.;Bq;2.22179E-05;x;2.19985E-05;1.35541E-08;2.05878E-07
545;Iron;Brut;in ground;kg;0.147577419;x;0.147273208;1.87908E-05;0.00028542
546;Iron;Air;;kg;1.11658E-06;x;1.11447E-06;1.3041E-10;1.98088E-09
547;Iron;Air;high. pop.;kg;9.39573E-07;x;9.3178E-07;4.81373E-10;7.3116E-09
548;Iron;Air;low. pop.;kg;4.01419E-07;x;4.00624E-07;4.91026E-11;7.45856E-10
549;Iron;Sol;;kg;2.14975E-05;x;2.08733E-05;3.85556E-08;5.85635E-07
550;Iron;Sol;agricultural;kg;5.20504E-07;x;5.13819E-07;4.12904E-10;6.27182E-09
551;Iron;Sol;industrial;kg;0.000128998;x;0.000127217;1.10047E-07;1.67155E-06
552;Iron-59;Eau;river;Bq;3.32987E-06;x;3.2299E-06;6.17498E-09;9.37956E-08
553;Iron, ion;Eau;;kg;6.73353E-06;x;6.65346E-06;4.94562E-09;7.51215E-08
554;Iron, ion;Eau;groundwater;kg;0.000194059;x;0.000192466;9.84057E-08;1.49475E-06
555;Iron, ion;Eau;ocean;kg;2.4729E-06;x;2.44369E-06;1.80442E-09;2.74083E-08
556;Iron, ion;Eau;river;kg;1.1866E-05;x;1.16883E-05;1.09763E-08;1.66724E-07
557;Isocyanic acid;Air;high. pop.;kg;4.79924E-09;x;4.73205E-09;4.1502E-12;6.30387E-11
558;Isoprene;Air;;kg;2.36129E-18;x;2.33141E-18;1.84562E-21;2.80343E-20
559;Isoprene;Air;low. pop.;kg;1.25254E-10;x;1.23418E-10;1.13386E-13;1.72232E-12
560;Isopropylamine;Air;high. pop.;kg;1.19464E-14;x;1.16796E-14;1.64751E-17;2.50249E-16
561;Isopropylamine;Eau;river;kg;2.86714E-14;x;2.80313E-14;3.95406E-17;6.00608E-16
562;Kaolinite;Brut;in ground;kg;2.27045E-06;x;2.24921E-06;1.312E-09;1.99287E-08
563;Kieserite;Brut;in ground;kg;1.04544E-08;x;1.0179E-08;1.70126E-11;2.58409E-10
564;Krypton-85;Air;low. pop.;Bq;3.495850185;x;3.466729901;0.001798737;0.027321547
565;Krypton-85m;Air;low. pop.;Bq;0.162814325;x;0.159150387;0.000226314;0.003437624
566;Krypton-87;Air;low. pop.;Bq;0.066258392;x;0.065197797;6.55122E-05;0.000995083
567;Krypton-88;Air;low. pop.;Bq;0.064639628;x;0.0634254;7.50016E-05;0.001139227
568;Krypton-89;Air;low. pop.;Bq;0.016127246;x;0.015703549;2.61713E-05;0.000397525
569;Lactic acid;Air;high. pop.;kg;2.26137E-13;x;2.22951E-13;1.96796E-16;2.98917E-15
570;Lactic acid;Eau;river;kg;5.42735E-13;x;5.35089E-13;4.72305E-16;7.17403E-15
571;Lanthanum-140;Air;low. pop.;Bq;6.33815E-07;x;6.14787E-07;1.17537E-09;1.7853E-08
572;Lanthanum-140;Eau;river;Bq;2.05494E-05;x;1.99325E-05;3.81073E-08;5.7884E-07
573;Lead;Brut;in ground;kg;8.97249E-06;x;8.70736E-06;1.63773E-08;2.48757E-07
574;Lead;Air;;kg;6.03611E-07;x;5.88538E-07;3.0116E-10;1.47724E-08
575;Lead;Air;high. pop.;kg;1.70851E-07;x;1.678E-07;1.88414E-10;2.86193E-09
576;Lead;Air;low. pop.;kg;3.19027E-07;x;3.17554E-07;9.09787E-11;1.38193E-09
577;Lead;Air;stratosphere + troposphere;kg;5.11801E-16;x;5.08337E-16;2.13994E-19;3.25044E-18
578;Lead;Eau;;kg;8.07686E-08;x;7.77325E-08;5.94972E-10;2.44105E-09
579;Lead;Eau;groundwater;kg;6.79277E-10;x;6.75406E-10;2.39108E-13;3.63193E-12
580;Lead;Eau;lake;kg;1.2213E-14;x;1.21613E-14;3.19408E-18;4.85166E-17
581;Lead;Eau;ocean;kg;3.41862E-07;x;3.37838E-07;2.48548E-10;3.7753E-09
582;Lead;Eau;river;kg;2.93719E-07;x;2.88323E-07;3.33323E-10;5.06298E-09
583;Lead;Sol;;kg;3.96944E-09;x;1.1288E-09;5.82904E-10;2.25773E-09
584;Lead;Sol;agricultural;kg;1.10327E-09;x;1.09354E-09;6.01137E-13;9.13094E-12
585;Lead-210;Air;;Bq;5.7263E-11;x;5.66975E-11;3.49337E-14;5.30619E-13
586;Lead-210;Air;high. pop.;Bq;0.005225438;x;0.005215541;6.11326E-07;9.28564E-06
587;Lead-210;Air;low. pop.;Bq;0.046503473;x;0.046108271;2.44112E-05;0.00037079
588;Lead-210;Eau;;Bq;5.96026E-06;x;5.88484E-06;4.65864E-09;7.07624E-08
589;Lead-210;Eau;groundwater;Bq;6.39625E-05;x;6.31554E-05;4.98548E-08;7.57293E-07
590;Lead-210;Eau;ocean;Bq;0.075516154;x;0.074561202;5.8985E-05;0.000895967
591;Lead-210;Eau;river;Bq;0.020420685;x;0.02025243;1.03931E-05;0.000157862
592;Linuron;Sol;agricultural;kg;5.54611E-10;x;5.33941E-10;1.27672E-12;1.93928E-11
593;Lithium;Brut;in ground;kg;1.96301E-12;x;1.94822E-12;9.13418E-16;1.38746E-14
594;Lithium, ion;Eau;;kg;2.21396E-08;x;2.18594E-08;1.73047E-11;2.62851E-10
595;Lithium, ion;Eau;river;kg;3.10642E-12;x;3.08302E-12;1.44546E-15;2.19558E-14
596;m-Xylene;Air;high. pop.;kg;9.32768E-09;x;9.24898E-09;4.86077E-12;7.38343E-11
597;m-Xylene;Eau;;kg;6.23933E-13;x;6.16038E-13;4.8768E-16;7.40773E-15
598;m-Xylene;Eau;river;kg;1.73664E-13;x;1.72411E-13;7.73907E-17;1.17552E-15
599;Magnesite;Brut;in ground;kg;0.001994566;x;0.001990586;2.45864E-07;3.73464E-06
600;Magnesium;Brut;in water;kg;5.46664E-09;x;5.42464E-09;2.59392E-12;3.94011E-11
601;Magnesium;Air;;kg;4.27274E-13;x;4.21867E-13;3.3397E-16;5.07293E-15
602;Magnesium;Air;high. pop.;kg;4.56186E-07;x;4.55103E-07;6.69053E-11;1.01624E-09
603;Magnesium;Air;low. pop.;kg;3.2386E-07;x;3.23184E-07;4.17782E-11;6.34586E-10
604;Magnesium;Eau;;kg;1.29201E-08;x;1.27567E-08;1.00987E-11;1.53398E-10
605;Magnesium;Eau;groundwater;kg;4.17653E-05;x;4.14831E-05;1.7427E-08;2.64713E-07
606;Magnesium;Eau;ocean;kg;0.000254919;x;0.000251911;1.85825E-07;2.82254E-06
607;Magnesium;Eau;river;kg;0.000482759;x;0.000473908;5.46748E-07;8.30497E-06
608;Magnesium;Sol;agricultural;kg;3.44549E-07;x;3.41496E-07;1.88548E-10;2.86392E-09
609;Magnesium;Sol;industrial;kg;5.16E-05;x;5.08874E-05;4.40182E-08;6.68619E-07
610;Mancozeb;Sol;agricultural;kg;1.19382E-09;x;1.18767E-09;3.79882E-13;5.77017E-12
611;Manganese;Brut;in ground;kg;0.000695139;x;0.00069471;2.64972E-08;4.02486E-07
612;Manganese;Air;;kg;1.48978E-07;x;1.48686E-07;1.80513E-11;2.74193E-10
613;Manganese;Air;high. pop.;kg;2.00696E-08;x;1.99172E-08;9.41436E-12;1.43006E-10
614;Manganese;Air;low. pop.;kg;5.92656E-08;x;5.89709E-08;1.82044E-11;2.76519E-10
615;Manganese;Eau;;kg;1.11139E-07;x;1.10834E-07;1.88185E-11;2.8584E-10
616;Manganese;Eau;groundwater;kg;2.21728E-06;x;2.2029E-06;8.88792E-10;1.35006E-08
617;Manganese;Eau;ocean;kg;2.04067E-06;x;2.01658E-06;1.48753E-09;2.25956E-08
618;Manganese;Eau;river;kg;4.11136E-06;x;4.03786E-06;4.53954E-09;6.89558E-08
619;Manganese;Sol;agricultural;kg;2.08001E-07;x;2.0621E-07;1.106E-10;1.68E-09
620;Manganese;Sol;industrial;kg;2.58E-06;x;2.54437E-06;2.20087E-09;3.34304E-08
621;Manganese-54;Air;low. pop.;Bq;5.89966E-08;x;5.72253E-08;1.09408E-10;1.66182E-09
622;Manganese-54;Eau;river;Bq;0.001129236;x;0.001111926;1.06922E-06;1.62409E-05
623;Mercury;Air;;kg;1.62221E-07;x;1.61895E-07;2.00931E-11;3.05166E-10
624;Mercury;Air;high. pop.;kg;7.90654E-09;x;7.78522E-09;7.49384E-12;1.13829E-10
625;Mercury;Air;low. pop.;kg;2.41129E-08;x;2.3614E-08;3.08153E-11;4.68072E-10
626;Mercury;Air;stratosphere + troposphere;kg;1.79123E-18;x;1.77911E-18;7.4895E-22;1.13762E-20
627;Mercury;Eau;;kg;6.56284E-09;x;6.54562E-09;1.06377E-12;1.61586E-11
628;Mercury;Eau;groundwater;kg;2.30422E-10;x;2.2889E-10;9.46014E-14;1.43702E-12
629;Mercury;Eau;lake;kg;1.05645E-16;x;1.05198E-16;2.7629E-20;4.19674E-19
630;Mercury;Eau;ocean;kg;1.00038E-09;x;9.88823E-10;7.14136E-13;1.08475E-11
631;Mercury;Eau;river;kg;2.12893E-09;x;2.1204E-09;5.27017E-13;8.00497E-12
632;Mercury;Sol;agricultural;kg;2.63831E-12;x;2.59863E-12;2.45083E-15;3.72265E-14
633;Metaldehyde;Sol;agricultural;kg;2.85677E-12;x;2.76341E-12;5.76638E-15;8.75912E-14
634;Metamorphous rock, graphite containing;Brut;in ground;kg;3.14529E-07;x;3.11323E-07;1.98058E-10;3.0084E-09
635;Methane, biogenic;Air;;kg;1.10269E-05;x;1.09304E-05;5.9588E-09;9.05138E-08
636;Methane, biogenic;Air;high. pop.;kg;9.58379E-08;x;9.44952E-08;8.29361E-11;1.25978E-09
637;Methane, biogenic;Air;low. pop.;kg;5.16735E-06;x;5.11855E-06;3.01421E-09;4.57845E-08
638;Methane, bromo-, Halon 1001;Air;;kg;3.32829E-18;x;3.28617E-18;2.6015E-21;3.95155E-20
639;Methane, bromochlorodifluoro-, Halon 1211;Air;low. pop.;kg;5.67834E-09;x;5.65941E-09;1.16906E-12;1.7758E-11
640;Methane, bromotrifluoro-, Halon 1301;Air;high. pop.;kg;1.06162E-15;x;1.0132E-15;2.99037E-18;4.54227E-17
641;Methane, bromotrifluoro-, Halon 1301;Air;low. pop.;kg;7.51151E-08;x;7.34153E-08;1.04988E-10;1.59481E-09
642;Methane, chlorodifluoro-, HCFC-22;Air;high. pop.;kg;2.43065E-10;x;2.4131E-10;1.08421E-13;1.64685E-12
643;Methane, chlorodifluoro-, HCFC-22;Air;low. pop.;kg;2.12093E-08;x;2.1132E-08;4.7768E-12;7.2558E-11
644;Methane, dichloro-, HCC-30;Air;high. pop.;kg;1.05524E-11;x;1.044E-11;6.94815E-15;1.05541E-13
645;Methane, dichloro-, HCC-30;Air;low. pop.;kg;1.19379E-11;x;1.18185E-11;7.3783E-15;1.12072E-13
646;Methane, dichloro-, HCC-30;Eau;river;kg;1.63289E-06;x;1.61034E-06;1.39298E-09;2.11586E-08
647;Methane, dichlorodifluoro-, CFC-12;Air;;kg;2.21286E-18;x;2.18486E-18;1.7296E-21;2.62724E-20
648;Methane, dichlorodifluoro-, CFC-12;Air;high. pop.;kg;1.61203E-11;x;1.60369E-11;5.15233E-15;7.82597E-14
649;Methane, dichlorodifluoro-, CFC-12;Air;low. pop.;kg;2.49548E-11;x;2.4824E-11;8.08366E-15;1.2279E-13
650;Methane, dichlorofluoro-, HCFC-21;Air;high. pop.;kg;3.57908E-14;x;3.56236E-14;1.03236E-17;1.56818E-16
651;Methane, fossil;Air;;kg;0.000278891;x;0.000277248;8.64167E-08;1.55657E-06
652;Methane, fossil;Air;high. pop.;kg;0.00014957;x;0.000147411;1.33362E-07;2.02569E-06
653;Methane, fossil;Air;low. pop.;kg;0.004799547;x;0.004669391;8.03946E-06;0.000122116
654;Methane, fossil;Air;stratosphere + troposphere;kg;1.27947E-12;x;1.27081E-12;5.34972E-16;8.12597E-15
655;Methane, monochloro-, R-40;Air;high. pop.;kg;9.85034E-13;x;9.74015E-13;6.80655E-16;1.03387E-14
656;Methane, monochloro-, R-40;Air;low. pop.;kg;2.1798E-11;x;2.15799E-11;1.3472E-14;2.04635E-13
657;Methane, tetrachloro-, CFC-10;Air;;kg;9.89496E-16;x;9.76975E-16;7.7341E-19;1.17475E-17
658;Methane, tetrachloro-, CFC-10;Air;high. pop.;kg;1.51272E-09;x;1.49529E-09;1.0768E-12;1.63564E-11
659;Methane, tetrafluoro-, CFC-14;Air;;kg;4.29256E-08;x;4.24924E-08;2.67577E-11;4.06436E-10
660;Methane, tetrafluoro-, CFC-14;Air;high. pop.;kg;1.34961E-11;x;1.33756E-11;7.44546E-15;1.13094E-13
661;Methane, trichlorofluoro-, CFC-11;Air;high. pop.;kg;5.81033E-14;x;5.78319E-14;1.67601E-17;2.5458E-16
662;Methane, trifluoro-, HFC-23;Air;high. pop.;kg;1.13878E-11;x;1.13347E-11;3.28493E-15;4.98961E-14
663;Methanesulfonic acid;Air;high. pop.;kg;4.7894E-14;x;4.61191E-14;1.09637E-16;1.6653E-15
664;Methanol;Air;;kg;3.60552E-07;x;3.55058E-07;3.39337E-10;5.15442E-09
665;Methanol;Air;high. pop.;kg;3.24375E-07;x;3.20028E-07;2.685E-10;4.0784E-09
666;Methanol;Air;low. pop.;kg;1.93741E-07;x;1.90827E-07;1.80032E-10;2.73464E-09
667;Methanol;Eau;;kg;8.9275E-09;x;8.79112E-09;8.42384E-12;1.2795E-10
668;Methanol;Eau;ocean;kg;7.15236E-08;x;7.13258E-08;1.22226E-11;1.85652E-10
669;Methanol;Eau;river;kg;4.46402E-09;x;4.44434E-09;1.21594E-12;1.84702E-11
670;Methyl acetate;Air;high. pop.;kg;1.98988E-15;x;1.91736E-15;4.47932E-18;6.80387E-17
671;Methyl acetate;Eau;river;kg;4.77559E-15;x;4.60155E-15;1.07498E-17;1.63287E-16
672;Methyl acrylate;Air;high. pop.;kg;1.17975E-10;x;1.17481E-10;3.05122E-14;4.63475E-13
673;Methyl acrylate;Eau;river;kg;2.30471E-09;x;2.29506E-09;5.96069E-13;9.05414E-12
674;Methyl amine;Air;high. pop.;kg;3.83709E-13;x;3.80083E-13;2.23938E-16;3.40149E-15
675;Methyl amine;Eau;river;kg;9.20855E-13;x;9.12154E-13;5.37435E-16;8.16354E-15
676;Methyl borate;Air;high. pop.;kg;1.4157E-14;x;1.40407E-14;7.1865E-18;1.0916E-16
677;Methyl ethyl ketone;Air;high. pop.;kg;1.87207E-07;x;1.86419E-07;4.86519E-11;7.39006E-10
678;Methyl formate;Air;high. pop.;kg;4.7537E-13;x;4.73321E-13;1.26606E-16;1.92309E-15
679;Methyl formate;Eau;river;kg;1.89784E-13;x;1.88965E-13;5.0547E-17;7.6779E-16
680;Methyl lactate;Air;high. pop.;kg;2.48262E-13;x;2.44764E-13;2.16046E-16;3.28166E-15
681;Metolachlor;Sol;agricultural;kg;4.0101E-09;x;3.86051E-09;9.23994E-12;1.40348E-10
682;Metribuzin;Sol;agricultural;kg;4.20347E-11;x;4.18182E-11;1.33757E-14;2.03177E-13
683;Mineral oil;Sol;forestry;kg;0.124;x;0.124;x;x
684;Molybdenum;Brut;in ground;kg;1.53187E-05;x;1.53081E-05;6.59921E-10;1.00238E-08
685;Molybdenum;Air;;kg;3.4794E-13;x;3.44849E-13;1.90939E-16;2.90033E-15
686;Molybdenum;Air;high. pop.;kg;4.49633E-08;x;4.43384E-08;3.86038E-11;5.86354E-10
687;Molybdenum;Air;low. pop.;kg;2.85696E-09;x;2.8344E-09;1.39353E-12;2.11674E-11
688;Molybdenum;Eau;;kg;4.73306E-13;x;4.67317E-13;3.69953E-16;5.61934E-15
689;Molybdenum;Eau;groundwater;kg;2.6271E-07;x;2.60573E-07;1.31989E-10;2.00486E-09
690;Molybdenum;Eau;ocean;kg;9.45782E-09;x;9.3462E-09;6.894E-12;1.04718E-10
691;Molybdenum;Eau;river;kg;1.06462E-07;x;1.05427E-07;6.39345E-11;9.7116E-10
692;Molybdenum;Sol;agricultural;kg;4.09363E-11;x;4.05755E-11;2.22865E-14;3.38519E-13
693;Molybdenum-99;Eau;river;Bq;7.08498E-06;x;6.87228E-06;1.31381E-08;1.99569E-07
694;Molybdenum, 0.010% in sulfide, Mo 8.2E-3% and Cu 1.83% in crude ore, in ground;Brut;in ground;kg;1.55208E-06;x;1.54081E-06;6.95785E-10;1.05685E-08
695;Molybdenum, 0.014% in sulfide, Mo 8.2E-3% and Cu 0.81% in crude ore, in ground;Brut;in ground;kg;2.19929E-07;x;2.18328E-07;9.88477E-11;1.50149E-09
696;Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.36% in crude ore, in ground;Brut;in ground;kg;7.59133E-06;x;7.58603E-06;3.27309E-10;4.9716E-09
