SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:46;;;;
Projet;_Forest resources database;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Calculation: ;Analyser;;;;;;;;
Results: ;Inventaire;;;;;;;;
Product: ;1 m3 _Oak harvesting wood, stemwood, over bark, mechanically felled, 80% water on dry mass basis, in forest/FR U (of project _Forest resources database);;;;;;;;
Méthode: ;;;;;;;;;
Indicateur: ;Inventaire;;;;;;;;
Unité: ;?;;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;;
Per sub-compartment: ;Oui;;;;;;;;
Default units: ;Non;;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;;
Sorted on item: ;Substance;;;;;;;;
Sort order: ;Croissant;;;;;;;;
;;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak harvesting wood, stemwood, over bark, mechanically felled, 80% water on dry mass basis, in forest/FR U;_Hardwood, stemwood, diameter>7 cm , mechanically felling, in forest/FR U;Operation, lorry >28t, fleet average/CH S;Operation, passenger car, diesel, fleet average/RER S
77;Anhydrite;Brut;in ground;kg;9.36171E-09;x;9.2142E-09;9.11129E-12;1.38392E-10
78;Aniline;Air;high. pop.;kg;1.02264E-12;x;1.00814E-12;8.95501E-16;1.36022E-14
79;Aniline;Eau;river;kg;2.45787E-12;x;2.42295E-12;2.15706E-15;3.27646E-14
80;Anthranilic acid;Air;high. pop.;kg;6.27648E-15;x;6.04811E-15;1.41066E-17;2.14265E-16
81;Antimony;Air;;kg;2.37746E-11;x;2.34168E-11;2.21018E-14;3.35718E-13
82;Antimony;Air;high. pop.;kg;2.22488E-10;x;2.21916E-10;3.53307E-14;5.36663E-13
83;Antimony;Air;low. pop.;kg;8.17617E-09;x;8.11583E-09;3.72699E-12;5.66133E-11
84;Antimony;Eau;;kg;2.31784E-13;x;2.28851E-13;1.81168E-16;2.75188E-15
85;Antimony;Eau;groundwater;kg;3.84616E-08;x;3.81457E-08;1.95091E-11;2.96331E-10
86;Antimony;Eau;river;kg;4.92575E-08;x;4.90188E-08;1.4738E-11;2.23867E-10
87;Antimony;Sol;agricultural;kg;3.80897E-13;x;3.79342E-13;9.60458E-17;1.45884E-15
88;Antimony-122;Eau;river;Bq;4.40441E-06;x;4.27218E-06;8.16732E-09;1.24061E-07
89;Antimony-124;Air;low. pop.;Bq;1.09245E-08;x;1.05965E-08;2.02589E-11;3.07724E-10
90;Antimony-124;Eau;river;Bq;0.002311244;x;0.002286775;1.51144E-06;2.2958E-05
91;Antimony-125;Air;low. pop.;Bq;1.14007E-07;x;1.10584E-07;2.11421E-10;3.21133E-09
92;Antimony-125;Eau;river;Bq;0.002106101;x;0.00208351;1.39534E-06;2.1195E-05
93;AOX, Adsorbable Organic Halogen as Cl;Eau;;kg;2.97589E-10;x;2.93043E-10;2.80789E-13;4.26508E-12
94;AOX, Adsorbable Organic Halogen as Cl;Eau;ocean;kg;1.76768E-08;x;1.74684E-08;1.28713E-11;1.95514E-10
95;AOX, Adsorbable Organic Halogen as Cl;Eau;river;kg;9.67398E-08;x;9.54745E-08;7.81579E-11;1.18718E-09
96;Argon-41;Air;low. pop.;Bq;1.116711113;x;1.107445999;0.000572297;0.008692818
97;Arsenic;Air;;kg;1.42892E-10;x;1.40741E-10;1.32826E-13;2.01751E-12
98;Arsenic;Air;high. pop.;kg;3.87548E-08;x;3.82031E-08;3.40813E-11;5.1768E-10
99;Arsenic;Air;low. pop.;kg;9.19421E-08;x;9.13987E-08;3.35627E-11;5.09801E-10
100;Arsenic;Sol;agricultural;kg;8.62137E-11;x;8.55496E-11;4.10174E-14;6.23039E-13
101;Arsenic;Sol;industrial;kg;2.58E-08;x;2.54437E-08;2.20087E-11;3.34304E-10
102;Arsenic, ion;Eau;;kg;1.11628E-08;x;1.11398E-08;1.42431E-12;2.16343E-11
103;Arsenic, ion;Eau;groundwater;kg;1.9286E-07;x;1.91277E-07;9.77506E-11;1.48481E-09
104;Arsenic, ion;Eau;lake;kg;4.85269E-15;x;4.83214E-15;1.26914E-18;1.92773E-17
105;Arsenic, ion;Eau;ocean;kg;3.12962E-08;x;3.09289E-08;2.26906E-11;3.44663E-10
106;Arsenic, ion;Eau;river;kg;6.82004E-07;x;6.79118E-07;1.7824E-10;2.7074E-09
107;Arsine;Air;high. pop.;kg;1.21203E-15;x;1.20696E-15;3.13473E-19;4.76155E-18
108;Atrazine;Sol;agricultural;kg;7.01976E-13;x;6.99034E-13;1.81713E-16;2.76006E-15
109;Barite;Eau;ocean;kg;0.00051536;x;0.000509419;3.66993E-07;5.57459E-06
110;Barium;Air;;kg;5.7263E-17;x;5.66975E-17;3.49337E-20;5.30619E-19
111;Barium;Air;high. pop.;kg;1.42152E-08;x;1.41875E-08;1.71176E-12;2.60006E-11
112;Barium;Air;low. pop.;kg;5.39743E-08;x;5.35957E-08;2.33907E-11;3.55293E-10
113;Barium;Eau;;kg;5.86284E-09;x;5.78865E-09;4.58248E-12;6.96077E-11
114;Barium;Eau;groundwater;kg;1.42189E-08;x;1.41295E-08;5.52242E-12;8.3884E-11
115;Barium;Eau;ocean;kg;4.03458E-05;x;3.98697E-05;2.94096E-08;4.46724E-07
116;Barium;Eau;river;kg;8.03156E-05;x;7.88502E-05;9.05209E-08;1.37497E-06
117;Barium;Sol;agricultural;kg;1.69749E-09;x;1.66658E-09;1.90939E-12;2.90022E-11
118;Barium;Sol;industrial;kg;3.22504E-05;x;3.1805E-05;2.75114E-08;4.17884E-07
119;Barium-140;Air;low. pop.;Bq;7.41596E-06;x;7.19332E-06;1.37522E-08;2.08895E-07
120;Barium-140;Eau;river;Bq;1.92939E-05;x;1.87146E-05;3.57782E-08;5.43459E-07
