SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:50;;;
Projet;_Forest resources database;;;;;;;
;;;;;;;;
;;;;;;;;
Calculation: ;Analyser;;;;;;;
Results: ;Inventaire;;;;;;;
Product: ;1 ha _Oak forest manual clearance by brush-cutter, in forest/FR U (of project _Forest resources database);;;;;;;
Méthode: ;;;;;;;;
Indicateur: ;Inventaire;;;;;;;
Unité: ;?;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;
Per sub-compartment: ;Oui;;;;;;;
Default units: ;Non;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;
Sorted on item: ;Substance;;;;;;;
Sort order: ;Croissant;;;;;;;
;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak forest manual clearance by brush-cutter, in forest/FR U;_Power sawing, without catalytic converter/hr/RER_Brush-cutter/hr/FR U;Operation, passenger car, diesel, fleet average/RER S
91;Antimony-125;Air;low. pop.;Bq;1.21836E-06;x;5.70032E-07;6.48332E-07
92;Antimony-125;Eau;river;Bq;0.016170188;x;0.011891142;0.004279047
93;AOX, Adsorbable Organic Halogen as Cl;Eau;;kg;1.06025E-07;x;1.05163E-07;8.61074E-10
94;AOX, Adsorbable Organic Halogen as Cl;Eau;ocean;kg;1.48401E-07;x;1.08929E-07;3.94721E-08
95;AOX, Adsorbable Organic Halogen as Cl;Eau;river;kg;8.23586E-07;x;5.83907E-07;2.39679E-07
96;Argon-41;Air;low. pop.;Bq;7.363559524;x;5.608573688;1.754985836
97;Arsenic;Air;;kg;1.16593E-09;x;7.58617E-10;4.07314E-10
98;Arsenic;Air;high. pop.;kg;5.67509E-07;x;4.62995E-07;1.04514E-07
99;Arsenic;Air;low. pop.;kg;1.90846E-06;x;1.80554E-06;1.02923E-07
100;Arsenic;Sol;agricultural;kg;9.40803E-10;x;8.15018E-10;1.25785E-10
101;Arsenic;Sol;industrial;kg;2.23197E-07;x;1.55704E-07;6.74923E-08
102;Arsenic, ion;Eau;;kg;2.56377E-08;x;2.127E-08;4.36772E-09
103;Arsenic, ion;Eau;groundwater;kg;1.28098E-06;x;9.81209E-07;2.99766E-07
104;Arsenic, ion;Eau;lake;kg;2.23163E-14;x;1.84244E-14;3.89189E-15
105;Arsenic, ion;Eau;ocean;kg;2.59741E-07;x;1.90157E-07;6.95837E-08
106;Arsenic, ion;Eau;river;kg;3.36341E-06;x;2.81682E-06;5.46595E-07
107;Arsine;Air;high. pop.;kg;5.54839E-15;x;4.58709E-15;9.61305E-16
108;Atrazine;Sol;agricultural;kg;3.21457E-12;x;2.65734E-12;5.57225E-13
109;Barite;Eau;ocean;kg;0.004210087;x;0.003084639;0.001125449
110;Barium;Air;;kg;4.15921E-16;x;3.08795E-16;1.07126E-16
111;Barium;Air;high. pop.;kg;6.07106E-07;x;6.01857E-07;5.24923E-09
112;Barium;Air;low. pop.;kg;3.13989E-07;x;2.4226E-07;7.17298E-08
113;Barium;Eau;;kg;8.51804E-08;x;7.11273E-08;1.4053E-08
114;Barium;Eau;groundwater;kg;8.4151E-08;x;6.72158E-08;1.69353E-08
115;Barium;Eau;ocean;kg;0.000334778;x;0.000244589;9.01887E-05
116;Barium;Eau;river;kg;0.000761189;x;0.000483597;0.000277592
117;Barium;Sol;agricultural;kg;1.59272E-08;x;1.00719E-08;5.85523E-09
118;Barium;Sol;industrial;kg;0.000278997;x;0.00019463;8.43663E-05
119;Barium-140;Air;low. pop.;Bq;7.92528E-05;x;3.70792E-05;4.21736E-05
120;Barium-140;Eau;river;Bq;0.000206184;x;9.6466E-05;0.000109718
121;Baryte;Brut;in ground;kg;0.095314643;x;0.06682596;0.028488683
122;Basalt;Brut;in ground;kg;0.001052523;x;0.000769186;0.000283336
123;Benomyl;Sol;agricultural;kg;2.91617E-11;x;2.07243E-11;8.43741E-12
124;Bentazone;Sol;agricultural;kg;4.77051E-10;x;2.17719E-10;2.59333E-10
125;Benzal chloride;Air;;kg;2.11398E-16;x;1.76522E-16;3.48755E-17
126;Benzaldehyde;Air;high. pop.;kg;1.39331E-09;x;9.60069E-10;4.33236E-10
127;Benzene;Air;;kg;2.75697E-05;x;8.38857E-07;2.67308E-05
128;Benzene;Air;high. pop.;kg;0.000184999;x;0.000139267;4.57318E-05
129;Benzene;Air;low. pop.;kg;1.35011E-05;x;9.95979E-06;3.54131E-06
130;Benzene;Air;stratosphere + troposphere;kg;1.82654E-11;x;1.76109E-11;6.54567E-13
131;Benzene;Eau;;kg;5.01842E-10;x;4.19051E-10;8.27913E-11
132;Benzene;Eau;ocean;kg;3.16898E-05;x;2.31532E-05;8.53657E-06
133;Benzene;Eau;river;kg;5.70841E-05;x;3.63319E-05;2.07522E-05
134;Benzene, 1-methyl-2-nitro-;Air;high. pop.;kg;9.52575E-14;x;4.40311E-14;5.12263E-14
135;Benzene, 1,2-dichloro-;Air;high. pop.;kg;2.36998E-12;x;1.25334E-12;1.11664E-12
136;Benzene, 1,2-dichloro-;Eau;river;kg;1.35343E-09;x;1.11375E-09;2.39679E-10
137;Benzene, chloro-;Eau;river;kg;2.78355E-08;x;2.29383E-08;4.89721E-09
138;Benzene, ethyl-;Air;high. pop.;kg;0.000144017;x;0.000133702;1.03149E-05
139;Benzene, ethyl-;Air;low. pop.;kg;2.92603E-11;x;2.19241E-11;7.33616E-12
140;Benzene, ethyl-;Eau;;kg;2.82053E-11;x;2.35521E-11;4.65316E-12
141;Benzene, ethyl-;Eau;ocean;kg;9.21491E-06;x;6.73234E-06;2.48257E-06
142;Benzene, ethyl-;Eau;river;kg;2.09414E-05;x;1.33031E-05;7.63833E-06
143;Benzene, hexachloro-;Air;;kg;3.88913E-09;x;3.38123E-09;5.07902E-10
144;Benzene, hexachloro-;Air;high. pop.;kg;1.60262E-11;x;1.23109E-11;3.71521E-12
145;Benzene, pentachloro-;Air;high. pop.;kg;4.02172E-11;x;3.08931E-11;9.32405E-12
