SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:55;;;;;;;
Projet;_Forest resources database;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Calculation: ;Analyser;;;;;;;;;;;
Results: ;Inventaire;;;;;;;;;;;
Product: ;1 ha _Oak forest rack cleaning by gyratory crusher, in forest/FR U (of project _Forest resources database);;;;;;;;;;;
Méthode: ;;;;;;;;;;;;
Indicateur: ;Inventaire;;;;;;;;;;;
Unité: ;?;;;;;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;;;;;
Per sub-compartment: ;Oui;;;;;;;;;;;
Default units: ;Non;;;;;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;;;;;
Sorted on item: ;Substance;;;;;;;;;;;
Sort order: ;Croissant;;;;;;;;;;;
;;;;;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak forest rack cleaning by gyratory crusher, in forest/FR U;Operation, lorry 3.5-16t, fleet average/RER S;Diesel, at regional storage/RER S;_Tillage, ploughing/CH U_Air emissions of tractor diesel combustion, in forest/FR U;_Tillage, ploughing/CH U_Soil emissions from tyre abrasion of tractor, in forest/FR U;Tractor, production/CH/I S;Agricultural machinery, general, production/CH/I S
344;Cumene;Air;;kg;5.66369E-17;x;4.6464E-20;6.66404E-19;x;x;4.6509E-17;9.41502E-18
345;Cumene;Air;high. pop.;kg;8.84923E-06;x;1.1662E-07;2.28687E-06;x;x;4.74438E-06;1.70136E-06
346;Cumene;Air;low. pop.;kg;1.3554E-11;x;7.4716E-14;1.26242E-12;x;x;7.39527E-12;4.82159E-12
347;Cumene;Eau;river;kg;2.12643E-05;x;2.8024E-07;5.49516E-06;x;x;1.14006E-05;4.08825E-06
348;Cyanide;Air;;kg;2.67004E-14;x;2.1904E-17;3.14147E-16;x;x;2.19258E-14;4.43852E-15
349;Cyanide;Air;high. pop.;kg;7.65922E-07;x;2.83E-09;4.90505E-08;x;x;5.28808E-07;1.85234E-07
350;Cyanide;Air;low. pop.;kg;2.42089E-06;x;2.9398E-09;5.73868E-08;x;x;6.47542E-07;1.71303E-06
351;Cyanide;Eau;;kg;4.0271E-06;x;7.6643E-09;1.46182E-07;x;x;1.17497E-06;2.69829E-06
352;Cyanide;Eau;ocean;kg;2.15031E-06;x;6.5958E-08;1.84721E-06;x;x;1.66243E-07;7.09068E-08
353;Cyanide;Eau;river;kg;1.20949E-05;x;1.0791E-07;1.45972E-06;x;x;7.58621E-06;2.94101E-06
354;Cyanoacetic acid;Air;high. pop.;kg;4.93097E-11;x;5.8528E-14;3.43041E-13;x;x;1.67083E-11;3.21999E-11
355;Cypermethrin;Sol;agricultural;kg;3.52119E-09;x;1.1526E-10;2.5579E-09;x;x;4.98848E-10;3.49181E-10
356;Diatomite;Brut;in ground;kg;9.08927E-08;x;3.3927E-11;1.40505E-10;x;x;9.03871E-08;3.31224E-10
357;Dichromate;Eau;river;kg;1.20337E-07;x;1.9723E-09;2.85536E-08;x;x;5.73004E-08;3.25107E-08
358;Diethylamine;Air;high. pop.;kg;2.68032E-11;x;2.1748E-13;4.4558E-12;x;x;1.0245E-11;1.18849E-11
359;Diethylamine;Eau;river;kg;6.4328E-11;x;5.2196E-13;1.0694E-11;x;x;2.45876E-11;2.85245E-11
360;Dimethyl malonate;Air;high. pop.;kg;6.18331E-11;x;7.3394E-14;4.30161E-13;x;x;2.09527E-11;4.03769E-11
361;Dimethylamine;Eau;river;kg;4.12784E-10;x;6.725E-13;7.06699E-12;x;x;1.40987E-10;2.64057E-10
362;Dinitrogen monoxide;Air;;kg;0.000412591;x;0.00030198;2.89839E-05;x;x;4.03521E-05;4.12747E-05
363;Dinitrogen monoxide;Air;high. pop.;kg;0.000233677;x;3.3758E-06;6.93092E-05;x;x;9.58991E-05;6.50929E-05
364;Dinitrogen monoxide;Air;low. pop.;kg;0.002788498;x;0.000005317;9.39972E-05;0.002619126;x;3.45295E-05;3.55274E-05
365;Dinitrogen monoxide;Air;stratosphere + troposphere;kg;8.68553E-12;x;1.7316E-13;3.03008E-12;x;x;4.02079E-12;1.4615E-12
366;Dioxin, 2,3,7,8 Tetrachlorodibenzo-p-;Air;;kg;3.1992E-11;x;8.3798E-14;1.57261E-12;x;x;9.28236E-12;2.10532E-11
367;Dioxin, 2,3,7,8 Tetrachlorodibenzo-p-;Air;high. pop.;kg;2.37101E-12;x;1.0094E-14;1.80361E-13;x;x;1.77476E-12;4.05791E-13
368;Dioxin, 2,3,7,8 Tetrachlorodibenzo-p-;Air;low. pop.;kg;4.34385E-12;x;1.9948E-14;4.23084E-13;x;x;2.51941E-12;1.38141E-12
369;Dipropylamine;Air;high. pop.;kg;1.42349E-11;x;1.3553E-13;2.82675E-12;x;x;5.56132E-12;5.71132E-12
370;Dipropylamine;Eau;river;kg;3.41644E-11;x;3.2526E-13;6.78438E-12;x;x;1.33475E-11;1.37073E-11
371;DOC, Dissolved Organic Carbon;Eau;;kg;4.04051E-05;x;3.0315E-07;6.11717E-06;x;x;1.35009E-05;2.04839E-05
372;DOC, Dissolved Organic Carbon;Eau;lake;kg;2.29079E-07;x;3.3879E-09;6.66229E-08;x;x;1.14888E-07;4.41805E-08
373;DOC, Dissolved Organic Carbon;Eau;ocean;kg;0.01916245;x;0.00071515;0.017099628;x;x;0.000855597;0.000492075
374;DOC, Dissolved Organic Carbon;Eau;river;kg;0.093473893;x;0.0030803;0.083664672;x;x;0.004257814;0.002471107
375;Dolomite;Brut;in ground;kg;0.0129483;x;0.000028853;0.00055668;x;x;0.003766681;0.008596087
376;Energy, gross calorific value, in biomass;Brut;biotic;MJ;3.124159613;x;0.03148;0.61680528;x;x;1.423668333;1.052206
377;Energy, gross calorific value, in biomass, primary forest;Brut;biotic;MJ;0.00199724;x;0.00007126;0.001584972;x;x;0.000244948;9.60594E-05
378;Energy, kinetic (in wind), converted;Brut;in air;MJ;0.698342062;x;0.013541;0.28219464;x;x;0.195717222;0.2068892
379;Energy, potential (in hydropower reservoir), converted;Brut;in water;MJ;19.95508396;x;0.11167;1.8211284;x;x;8.818905556;9.20338
380;Energy, solar, converted;Brut;in air;MJ;0.018398893;x;0.00021335;0.004066608;x;x;0.006549475;0.00756946
381;Ethane;Air;;kg;1.58351E-07;x;1.2991E-10;1.86317E-09;x;x;1.30034E-07;2.63243E-08
382;Ethane;Air;high. pop.;kg;0.000416584;x;0.000019127;0.000340617;x;x;3.04838E-05;2.63563E-05
383;Ethane;Air;low. pop.;kg;0.000399895;x;6.5699E-06;0.000172246;x;x;9.88214E-05;0.000122258
384;Ethane, 1,1-difluoro-, HFC-152a;Air;high. pop.;kg;6.57766E-09;x;7.8101E-11;1.4968E-09;x;x;2.32346E-09;2.67929E-09
385;Ethane, 1,1,1-trichloro-, HCFC-140;Air;;kg;1.16741E-15;x;9.5773E-19;1.37358E-17;x;x;9.58652E-16;1.94065E-16
386;Ethane, 1,1,1-trichloro-, HCFC-140;Air;low. pop.;kg;4.97805E-11;x;2.7441E-13;4.63641E-12;x;x;2.7161E-11;1.77087E-11
387;Ethane, 1,1,1,2-tetrafluoro-, HFC-134a;Air;;kg;2.39801E-05;x;0.000022994;2.46071E-07;x;x;3.40834E-07;3.9923E-07
388;Ethane, 1,1,1,2-tetrafluoro-, HFC-134a;Air;high. pop.;kg;1.4959E-10;x;1.9576E-12;1.81803E-11;x;x;9.05829E-11;3.88697E-11
389;Ethane, 1,1,1,2-tetrafluoro-, HFC-134a;Air;low. pop.;kg;7.7504E-09;x;6.5889E-11;1.15684E-09;x;x;3.08519E-09;3.44248E-09
390;Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113;Air;high. pop.;kg;5.13592E-11;x;6.8854E-13;4.75872E-12;x;x;3.46296E-11;1.12823E-11
391;Ethane, 1,2-dichloro-;Air;high. pop.;kg;5.67243E-07;x;8.4423E-09;1.53917E-07;x;x;2.88983E-07;1.15901E-07
392;Ethane, 1,2-dichloro-;Air;low. pop.;kg;9.94384E-11;x;5.4814E-13;9.26147E-12;x;x;5.42543E-11;3.53745E-11
393;Ethane, 1,2-dichloro-;Eau;river;kg;3.60227E-08;x;6.6812E-10;1.49372E-08;x;x;1.02107E-08;1.02066E-08
394;Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-, CFC-114;Air;low. pop.;kg;1.47493E-07;x;1.1701E-09;2.00124E-08;x;x;5.90862E-08;6.72241E-08
395;Ethane, hexafluoro-, HFC-116;Air;;kg;1.61037E-06;x;1.6039E-09;1.64654E-08;x;x;1.5529E-06;3.93976E-08
396;Ethane, hexafluoro-, HFC-116;Air;high. pop.;kg;3.70148E-09;x;4.9376E-11;3.64837E-10;x;x;2.44374E-09;8.43526E-10
397;Ethanol;Air;high. pop.;kg;3.87922E-06;x;9.6975E-08;1.81892E-06;x;x;1.07979E-06;8.83535E-07
398;Ethanol;Air;low. pop.;kg;4.1011E-08;x;4.0321E-10;7.41359E-09;x;x;1.5769E-08;1.74253E-08
399;Ethanol;Eau;river;kg;2.68588E-08;x;2.3457E-10;1.67849E-09;x;x;1.45507E-08;1.0395E-08
400;Ethene;Air;high. pop.;kg;0.000108071;x;3.7255E-06;6.62123E-05;x;x;1.71941E-05;2.09388E-05
401;Ethene;Air;low. pop.;kg;9.04633E-05;x;1.7993E-07;3.44679E-06;x;x;2.67017E-05;6.01349E-05
402;Ethene;Eau;river;kg;7.82872E-06;x;1.1695E-07;2.30325E-06;x;x;3.91508E-06;1.49344E-06
403;Ethene, chloro-;Air;;kg;4.27661E-16;x;3.5085E-19;5.03194E-18;x;x;3.51184E-16;7.10943E-17
404;Ethene, chloro-;Air;high. pop.;kg;1.66784E-07;x;2.4902E-09;3.9502E-08;x;x;8.8376E-08;3.64154E-08
405;Ethene, chloro-;Eau;river;kg;1.60891E-09;x;2.1443E-11;2.94207E-10;x;x;9.54442E-10;3.38821E-10
406;Ethene, tetrachloro-;Air;;kg;9.24682E-13;x;7.586E-16;1.08798E-14;x;x;7.59328E-13;1.53715E-13
407;Ethene, tetrachloro-;Air;high. pop.;kg;5.69391E-12;x;6.7863E-14;1.27432E-12;x;x;2.06258E-12;2.28914E-12
408;Ethene, tetrachloro-;Air;low. pop.;kg;1.06956E-10;x;5.8958E-13;9.96166E-12;x;x;5.83559E-11;3.80483E-11
409;Ethyl acetate;Air;high. pop.;kg;1.96005E-06;x;2.6246E-08;1.84288E-07;x;x;1.31521E-06;4.34306E-07
410;Ethyl acetate;Eau;river;kg;5.71398E-11;x;5.6842E-13;1.14734E-11;x;x;2.26722E-11;2.24257E-11
411;Ethyl cellulose;Air;high. pop.;kg;3.92808E-09;x;5.2661E-11;3.63854E-10;x;x;2.64882E-09;8.62741E-10
412;Ethylamine;Air;high. pop.;kg;1.82411E-11;x;2.4784E-14;2.35217E-13;x;x;8.73411E-12;9.24704E-12
413;Ethylamine;Eau;river;kg;4.37786E-11;x;5.9482E-14;5.6452E-13;x;x;2.09615E-11;2.21931E-11
414;Ethylene diamine;Air;high. pop.;kg;1.20405E-10;x;3.0251E-13;2.62298E-12;x;x;9.64983E-11;2.0981E-11
415;Ethylene diamine;Eau;river;kg;2.90159E-10;x;7.305E-13;6.31766E-12;x;x;2.32641E-10;5.04705E-11
416;Ethylene oxide;Air;;kg;1.23422E-10;x;2.4606E-12;4.30576E-11;x;x;5.71355E-11;2.07681E-11
417;Ethylene oxide;Air;high. pop.;kg;1.01448E-07;x;1.4883E-09;2.91324E-08;x;x;5.14144E-08;1.94127E-08
418;Ethylene oxide;Air;low. pop.;kg;8.70365E-12;x;1.7352E-13;3.03642E-12;x;x;4.02918E-12;1.46453E-12
419;Ethylene oxide;Air;stratosphere + troposphere;kg;5.28933E-11;x;1.0545E-12;1.84526E-11;x;x;2.4486E-11;8.90023E-12
420;Ethylene oxide;Eau;river;kg;3.86233E-09;x;2.038E-11;1.52987E-10;x;x;1.83616E-09;1.85281E-09
421;Ethyne;Air;;kg;8.722E-09;x;1.3739E-10;2.41703E-09;x;x;3.0687E-09;3.09887E-09
422;Ethyne;Air;high. pop.;kg;4.88038E-06;x;3.6795E-09;6.82718E-08;x;x;1.81908E-06;2.98935E-06
423;Ethyne;Air;low. pop.;kg;2.9532E-06;x;7.1102E-09;1.40388E-07;x;x;8.57231E-07;1.94847E-06
424;Feldspar;Brut;in ground;kg;1.81602E-09;x;2.4771E-11;2.91236E-10;x;x;1.06025E-09;4.39757E-10
425;Fenpiclonil;Sol;agricultural;kg;6.33178E-09;x;9.2927E-12;1.08514E-10;x;x;3.71721E-09;2.49676E-09
426;Fluoride;Eau;;kg;1.55561E-06;x;5.1235E-08;1.22306E-06;x;x;1.9663E-07;8.46782E-08
427;Fluoride;Eau;groundwater;kg;2.77032E-05;x;1.4199E-07;2.81452E-06;x;x;1.25086E-05;1.22381E-05
428;Fluoride;Eau;ocean;kg;6.29907E-05;x;0.000001971;5.56352E-05;x;x;3.23359E-06;2.15086E-06
429;Fluoride;Eau;river;kg;9.88833E-05;x;0.000003517;5.41588E-05;x;x;3.24905E-05;8.71695E-06
430;Fluoride;Sol;;kg;3.11935E-06;x;5.1186E-08;7.41053E-07;x;x;0.000001484;8.43107E-07
431;Fluoride;Sol;industrial;kg;4.03951E-05;x;1.4841E-06;3.587E-05;x;x;1.92905E-06;1.11192E-06
432;Fluorine;Air;;kg;8.35526E-11;x;2.1117E-12;3.59683E-11;x;x;2.19288E-11;2.35438E-11
433;Fluorine;Air;high. pop.;kg;7.48854E-08;x;1.099E-09;2.21851E-08;x;x;2.80414E-08;2.35599E-08
434;Fluorine;Air;low. pop.;kg;1.97372E-06;x;2.0795E-09;3.34086E-08;x;x;9.53073E-07;9.85162E-07
435;Fluorine, 4.5% in apatite, 1% in crude ore, in ground;Brut;in ground;kg;0.000100832;x;2.7861E-06;6.63062E-05;x;x;1.56409E-05;1.60992E-05
436;Fluorine, 4.5% in apatite, 3% in crude ore, in ground;Brut;in ground;kg;4.9615E-05;x;1.2344E-06;2.92459E-05;x;x;8.66462E-06;1.047E-05
437;Fluorspar;Brut;in ground;kg;0.002738156;x;0.000080865;0.001917945;x;x;0.000518885;0.000220461
438;Fluosilicic acid;Air;high. pop.;kg;1.88212E-06;x;1.8745E-09;1.92437E-08;x;x;1.81496E-06;4.60453E-08
439;Fluosilicic acid;Eau;river;kg;3.3879E-06;x;3.374E-09;3.46382E-08;x;x;3.26701E-06;8.28825E-08
440;Formaldehyde;Air;;kg;1.08235E-05;x;1.4442E-06;3.88796E-07;x;x;3.67805E-06;5.31246E-06
441;Formaldehyde;Air;high. pop.;kg;1.1564E-05;x;1.8096E-07;3.24608E-06;x;x;4.40268E-06;3.73429E-06
442;Formaldehyde;Air;low. pop.;kg;2.26495E-06;x;4.4982E-08;9.13065E-07;x;x;7.03678E-07;6.03223E-07
443;Formaldehyde;Air;stratosphere + troposphere;kg;4.56008E-11;x;9.0911E-13;1.59085E-11;x;x;2.11102E-11;7.67306E-12
444;Formaldehyde;Eau;;kg;1.18603E-06;x;1.5148E-08;2.92634E-07;x;x;5.62198E-07;3.16054E-07
445;Formaldehyde;Eau;river;kg;1.16404E-07;x;1.2008E-10;1.01956E-09;x;x;9.21479E-08;2.31164E-08
446;Formamide;Air;high. pop.;kg;1.16945E-11;x;1.7033E-14;1.94586E-13;x;x;6.68492E-12;4.79791E-12
447;Formamide;Eau;river;kg;2.80676E-11;x;4.088E-14;4.67027E-13;x;x;1.60443E-11;1.15154E-11
448;Formate;Eau;river;kg;1.19268E-08;x;1.4338E-11;8.90111E-11;x;x;4.18096E-09;7.64247E-09
449;Formic acid;Air;high. pop.;kg;2.43274E-09;x;3.2576E-11;2.24865E-10;x;x;1.64064E-09;5.3465E-10
450;Formic acid;Air;low. pop.;kg;1.3011E-07;x;4.6422E-09;1.03253E-07;x;x;1.59574E-08;6.25769E-09
451;Formic acid;Eau;river;kg;8.14764E-12;x;1.1867E-14;1.35567E-13;x;x;4.65738E-12;3.34283E-12
452;Furan;Air;;kg;9.08495E-17;x;7.4532E-20;1.06896E-18;x;x;7.46034E-17;1.51027E-17
453;Furan;Air;low. pop.;kg;3.69462E-08;x;1.3182E-09;2.93202E-08;x;x;4.53091E-09;1.77691E-09
454;Gallium;Brut;in ground;kg;5.0797E-11;x;6.0177E-13;1.15272E-11;x;x;1.79567E-11;2.07114E-11
455;Gas, mine, off-gas, process, coal mining/m3;Brut;in ground;m3;0.052172884;x;0.00025707;0.005171275;x;x;0.016113472;0.030631067
456;Gas, natural/m3;Brut;in ground;m3;2.708710713;x;0.097179;1.24230288;x;x;0.706534167;0.662694667
457;Glutaraldehyde;Eau;ocean;kg;7.88754E-07;x;2.4442E-08;6.96128E-07;x;x;4.08954E-08;2.72887E-08
458;Glyphosate;Sol;agricultural;kg;6.65444E-08;x;3.3956E-09;4.10658E-08;x;x;1.22763E-08;9.80673E-09
459;Glyphosate;Sol;industrial;kg;2.69991E-07;x;1.0933E-08;5.66879E-08;x;x;7.79144E-08;1.24456E-07
460;Gold;Brut;in ground;kg;8.44911E-09;x;1.1327E-10;7.82789E-10;x;x;5.69706E-09;1.85599E-09
461;Gold, Au 1.1E-4%, Ag 4.2E-3%, in ore, in ground;Brut;in ground;kg;3.8482E-09;x;5.1589E-11;3.56516E-10;x;x;2.59479E-09;8.45302E-10
462;Gold, Au 1.3E-4%, Ag 4.6E-5%, in ore, in ground;Brut;in ground;kg;7.05671E-09;x;9.4604E-11;6.5378E-10;x;x;4.75822E-09;1.5501E-09
463;Gold, Au 2.1E-4%, Ag 2.1E-4%, in ore, in ground;Brut;in ground;kg;1.29051E-08;x;1.7301E-10;1.19563E-09;x;x;8.70172E-09;2.83469E-09
464;Gold, Au 4.3E-4%, in ore, in ground;Brut;in ground;kg;3.19844E-09;x;4.2879E-11;2.96325E-10;x;x;2.15666E-09;7.02581E-10
465;Gold, Au 4.9E-5%, in ore, in ground;Brut;in ground;kg;7.66066E-09;x;1.027E-10;7.09734E-10;x;x;5.16544E-09;1.68278E-09
466;Gold, Au 6.7E-4%, in ore, in ground;Brut;in ground;kg;1.186E-08;x;1.59E-10;1.09879E-09;x;x;7.99696E-09;2.60529E-09
467;Gold, Au 7.1E-4%, in ore, in ground;Brut;in ground;kg;1.33732E-08;x;1.7929E-10;1.23901E-09;x;x;9.01736E-09;2.93755E-09
468;Gold, Au 9.7E-4%, Ag 9.7E-4%, Zn 0.63%, Cu 0.38%, Pb 0.014%, in ore, in ground;Brut;in ground;kg;8.0135E-10;x;1.0743E-11;7.42429E-11;x;x;5.40335E-10;1.76029E-10
469;Granite;Brut;in ground;kg;1.95443E-10;x;9.4203E-14;1.23717E-12;x;x;1.86913E-10;7.19847E-12
470;Gravel;Brut;in ground;kg;3.082442751;x;0.11207;0.94285464;x;x;0.948376111;1.079142
471;Gypsum;Brut;in ground;kg;2.44979E-06;x;5.669E-08;6.11171E-07;x;x;1.06941E-06;7.12521E-07
472;Heat, waste;Air;;MJ;153.6687027;x;55.657;15.8392416;x;x;29.06019444;53.11226667
473;Heat, waste;Air;high. pop.;MJ;234.1801087;x;3.6114;73.301592;x;x;87.33958333;69.92753333
474;Heat, waste;Air;low. pop.;MJ;1143.039819;x;4.7239;69.501432;995.7701149;x;35.02563889;38.01873333
475;Heat, waste;Air;stratosphere + troposphere;MJ;1.32018E-05;x;2.632E-07;4.60562E-06;x;x;6.11149E-06;2.22146E-06
476;Heat, waste;Eau;;MJ;0.979810442;x;0.00051229;0.003017196;x;x;0.793468889;0.182812067
477;Heat, waste;Eau;ocean;MJ;0.002105359;x;0.000016603;0.0002825;x;x;0.000856392;0.000949864
478;Heat, waste;Eau;river;MJ;28.71657924;x;0.99035;20.0866848;x;x;5.027344444;2.6122
479;Heat, waste;Sol;;MJ;0.46741966;x;0.013935;0.177572304;x;x;0.141957556;0.1339548
480;Heat, waste;Sol;industrial;MJ;0.010011644;x;0.00030891;0.008572637;x;x;0.000753734;0.000376364
481;Helium;Air;;kg;9.02162E-14;x;6.0144E-16;1.19637E-14;x;x;2.86951E-14;4.89559E-14
482;Helium;Air;low. pop.;kg;7.38311E-05;x;6.9472E-06;5.81162E-05;x;x;5.13349E-06;3.63414E-06
483;Heptane;Air;high. pop.;kg;0.000368187;x;0.000018133;0.000321507;x;x;1.78065E-05;1.07406E-05
484;Hexane;Air;;kg;9.16596E-08;x;7.5196E-11;1.07846E-09;x;x;7.52688E-08;1.52371E-08
485;Hexane;Air;high. pop.;kg;0.000802981;x;0.000038893;0.000691673;x;x;4.32936E-05;2.91215E-05
486;Hexane;Air;low. pop.;kg;2.87581E-06;x;2.6424E-08;4.74823E-07;x;x;1.11758E-06;1.25699E-06
487;Hydrocarbons, aliphatic, alkanes, cyclic;Air;high. pop.;kg;1.45534E-07;x;1.9889E-09;3.92072E-08;x;x;6.54064E-08;3.89314E-08
488;Hydrocarbons, aliphatic, alkanes, cyclic;Air;low. pop.;kg;1.44166E-09;x;7.947E-12;1.34275E-10;x;x;7.86594E-10;5.12845E-10
489;Hydrocarbons, aliphatic, alkanes, unspecified;Air;;kg;0.000734695;x;1.3127E-06;2.343E-05;x;x;0.000219111;0.000490842
490;Hydrocarbons, aliphatic, alkanes, unspecified;Air;high. pop.;kg;6.91594E-05;x;2.0796E-06;3.80016E-05;x;x;1.38907E-05;1.51875E-05
491;Hydrocarbons, aliphatic, alkanes, unspecified;Air;low. pop.;kg;2.41435E-05;x;3.7057E-07;8.83275E-06;x;x;7.21065E-06;7.72955E-06
492;Hydrocarbons, aliphatic, alkanes, unspecified;Eau;ocean;kg;7.46116E-05;x;2.3652E-06;6.74834E-05;x;x;3.13539E-06;1.62763E-06
493;Hydrocarbons, aliphatic, alkanes, unspecified;Eau;river;kg;0.000154137;x;7.2779E-06;0.000133237;x;x;8.89767E-06;4.72391E-06
494;Hydrocarbons, aliphatic, unsaturated;Air;;kg;4.25231E-15;x;3.3533E-17;5.70592E-16;x;x;1.72971E-15;1.91847E-15
495;Hydrocarbons, aliphatic, unsaturated;Air;high. pop.;kg;1.02957E-05;x;8.1416E-08;1.62234E-06;x;x;3.85693E-06;4.73501E-06
496;Hydrocarbons, aliphatic, unsaturated;Air;low. pop.;kg;9.8231E-06;x;1.2995E-07;2.692E-06;x;x;3.13466E-06;3.8665E-06
497;Hydrocarbons, aliphatic, unsaturated;Eau;ocean;kg;6.88741E-06;x;2.1832E-07;6.22942E-06;x;x;2.89424E-07;1.50245E-07
498;Hydrocarbons, aliphatic, unsaturated;Eau;river;kg;1.42283E-05;x;6.7181E-07;1.2299E-05;x;x;8.21368E-07;4.36131E-07
499;Hydrocarbons, aromatic;Air;;kg;2.59721E-05;x;3.447E-07;6.58039E-06;x;x;7.13674E-06;1.19103E-05
500;Hydrocarbons, aromatic;Air;high. pop.;kg;2.38744E-05;x;5.9741E-08;9.2571E-07;x;x;1.92287E-05;3.66029E-06
501;Hydrocarbons, aromatic;Air;low. pop.;kg;8.9386E-06;x;1.2753E-07;3.24018E-06;x;x;2.55416E-06;3.01673E-06
502;Hydrocarbons, aromatic;Eau;ocean;kg;0.000315992;x;0.00001001;0.000285602;x;x;1.33691E-05;7.01076E-06
503;Hydrocarbons, aromatic;Eau;river;kg;0.000622778;x;0.000029493;0.000538247;x;x;3.59252E-05;1.9113E-05
504;Hydrocarbons, chlorinated;Air;;kg;6.2318E-07;x;3.7972E-09;6.26655E-08;x;x;5.20578E-07;3.61391E-08
505;Hydrocarbons, chlorinated;Air;high. pop.;kg;1.18804E-08;x;1.662E-10;2.21763E-09;x;x;6.87248E-09;2.62404E-09
506;Hydrocarbons, chlorinated;Air;low. pop.;kg;5.052E-10;x;2.7849E-12;4.70543E-11;x;x;2.75644E-10;1.79716E-10
507;Hydrocarbons, unspecified;Eau;;kg;1.81876E-06;x;3.1326E-08;6.58498E-07;x;x;4.05656E-07;7.23276E-07
508;Hydrocarbons, unspecified;Eau;ocean;kg;0.000119803;x;3.7136E-06;0.000105743;x;x;6.20718E-06;4.13907E-06
509;Hydrocarbons, unspecified;Eau;river;kg;8.64792E-06;x;1.1716E-07;1.89421E-06;x;x;5.08638E-06;1.55018E-06
510;Hydrogen;Air;;kg;1.45371E-06;x;2.151E-08;4.24351E-07;x;x;7.31061E-07;2.76785E-07
511;Hydrogen;Air;high. pop.;kg;9.97261E-05;x;2.2529E-06;5.26999E-05;x;x;3.32281E-05;1.15452E-05
512;Hydrogen-3, Tritium;Air;low. pop.;Bq;1321.70874;x;14.988;285.25224;x;x;489.8525;531.616
513;Hydrogen-3, Tritium;Eau;ocean;Bq;95138.98338;x;1026.7;19297.6056;x;x;35636.61111;39178.06667
514;Hydrogen-3, Tritium;Eau;river;Bq;10853.85438;x;111.11;2060.9316;x;x;4130.319444;4551.493333
515;Hydrogen chloride;Air;;kg;0.000252199;x;1.8226E-06;3.26683E-05;x;x;7.08993E-05;0.000146809
516;Hydrogen chloride;Air;high. pop.;kg;0.000424675;x;2.2852E-06;4.74234E-05;x;x;0.000142195;0.000232772
517;Hydrogen chloride;Air;low. pop.;kg;0.000317849;x;6.0029E-06;0.000125453;x;x;9.82046E-05;8.81883E-05
518;Hydrogen chloride;Air;stratosphere + troposphere;kg;2.48984E-13;x;4.9639E-15;8.6862E-14;x;x;1.15262E-13;4.18963E-14
519;Hydrogen fluoride;Air;;kg;7.80096E-05;x;1.3744E-07;2.33885E-06;x;x;4.56521E-05;2.98812E-05
520;Hydrogen fluoride;Air;high. pop.;kg;1.71213E-05;x;2.0907E-07;4.38744E-06;x;x;4.99481E-06;7.52999E-06
521;Hydrogen fluoride;Air;low. pop.;kg;6.92399E-05;x;1.2479E-06;2.5994E-05;x;x;2.30476E-05;1.89504E-05
522;Hydrogen peroxide;Air;high. pop.;kg;2.92242E-09;x;3.9159E-11;2.72476E-10;x;x;1.96645E-09;6.44343E-10
523;Hydrogen peroxide;Eau;river;kg;5.30898E-08;x;4.1847E-10;4.15681E-09;x;x;4.12958E-08;7.2187E-09
524;Hydrogen sulfide;Air;;kg;5.02202E-05;x;1.6499E-07;3.18667E-06;x;x;1.49696E-05;3.18989E-05
525;Hydrogen sulfide;Air;high. pop.;kg;1.03554E-07;x;3.1354E-10;2.83156E-09;x;x;9.36451E-08;6.76335E-09
526;Hydrogen sulfide;Air;low. pop.;kg;0.000111964;x;3.6577E-07;7.20851E-06;x;x;3.58265E-05;6.85635E-05
527;Hydrogen sulfide;Eau;river;kg;4.69689E-06;x;9.4743E-09;1.81455E-07;x;x;1.37478E-06;3.13119E-06
528;Hydroxide;Eau;river;kg;8.66731E-08;x;1.1519E-09;8.87599E-09;x;x;5.64185E-08;2.02267E-08
529;Hypochlorite;Eau;ocean;kg;1.67321E-06;x;2.8527E-08;5.88391E-07;x;x;5.64612E-07;4.91681E-07
530;Hypochlorite;Eau;river;kg;1.57428E-06;x;2.7216E-08;5.62074E-07;x;x;5.21726E-07;4.63265E-07
531;Indium;Brut;in ground;kg;3.56768E-06;x;1.6863E-09;7.42254E-09;x;x;2.89365E-06;6.64915E-07
532;Iodide;Eau;groundwater;kg;1.5824E-07;x;2.9664E-09;6.1757E-08;x;x;4.8152E-08;4.53645E-08
533;Iodide;Eau;ocean;kg;5.73947E-05;x;1.8194E-06;5.19115E-05;x;x;2.41179E-06;1.25203E-06
534;Iodide;Eau;river;kg;0.000118809;x;0.000005601;0.000102543;x;x;6.92533E-06;3.73922E-06
535;Iodine;Brut;in water;kg;2.82048E-08;x;1.2813E-10;2.40939E-09;x;x;1.25863E-08;1.3081E-08
536;Iodine;Air;;kg;5.75456E-15;x;4.5381E-17;7.72175E-16;x;x;2.34083E-15;2.59617E-15
