"idp","XCOORD","YCOORD","xl93","yl93","dc","dep"
429461,5.337883,47.223319,876846,6683155,0,"21"
429593,5.440309,47.166588,884788,6677091,0,"21"
429596,3.720932,45.994324,755759,6544299,0,"3"
429604,2.160535,49.509718,639138,6935010,0,"60"
429632,2.912586,47.692664,693402,6732679,0,"89"
429651,6.040257,45.14941,938831,6454813,0,"38"
429676,1.555274,49.399515,595065,6923385,0,"27"
429692,0.551874,43.415946,501624,6260702,0,"32"
429711,1.424806,42.797935,570962,6190202,9,"9"
429712,1.791545,42.71063,600844,6179964,0,"9"
429722,6.257075,47.501942,945083,6716543,0,"70"
429724,5.963365,49.041571,916569,6886675,0,"54"
429748,5.357119,49.436062,870960,6929044,0,"55"
429825,2.76166,48.808244,682455,6856690,0,"77"
429862,4.988629,48.707483,846274,6847303,0,"51"
429894,4.961421,48.168383,845761,6787347,0,"52"
429926,0.036473,43.352237,459621,6255056,0,"65"
429942,4.4311,48.358918,805961,6807673,0,"10"
429982,1.89776,47.981057,617728,6765293,0,"45"
430013,3.421651,45.223837,733052,6458568,0,"43"
430063,3.061271,44.920913,704794,6424838,0,"15"
430103,5.749668,47.878081,905458,6756855,0,"52"
430119,0.370697,43.664527,487871,6288787,0,"32"
430127,1.822444,50.209108,615805,7013166,0,"80"
430151,2.326901,45.247115,647154,6461290,0,"15"
430258,6.253729,44.205579,959913,6350732,0,"4"
430266,2.226004,44.761326,638710,6407411,0,"15"
430272,-0.319625,48.383587,454248,6814620,0,"53"
430298,5.411681,48.967114,876510,6877026,0,"55"
430393,3.588851,49.251785,742837,6906151,7,"2"
430492,3.016152,47.458239,701176,6706632,0,"58"
430517,7.052615,47.778645,1003330,6750015,0,"68"
430539,2.406076,47.478204,655229,6709018,0,"18"
430554,6.452138,48.305655,955851,6806387,0,"88"
430562,2.679808,44.652919,674572,6395121,0,"12"
430598,-1.173136,47.01083,383069,6665310,0,"85"
430623,3.170507,47.151376,712879,6672559,0,"58"
430745,5.60042,48.494307,892053,6824925,0,"55"
430747,5.38394,48.032189,877617,6773083,0,"52"
430754,4.751405,48.280829,829875,6799474,8,"10"
430841,4.838891,47.289223,838929,6689475,0,"21"
430877,6.332929,45.679728,959328,6514583,0,"73"
430908,0.782684,48.547119,536322,6829930,0,"61"
430923,2.202397,44.07785,636075,6331507,9,"81"
430955,4.25536,45.770517,797516,6519966,0,"42"
430973,4.28197,45.06815,800850,6442008,0,"43"
430983,3.382889,47.221614,728934,6680417,9,"58"
431128,3.322996,49.703415,723273,6956289,0,"2"
431144,2.769827,46.523822,682315,6602872,9,"3"
431231,5.581198,48.620794,890174,6838932,0,"55"
431264,0.985493,44.897029,540943,6424212,0,"24"
431292,3.769318,46.857564,758570,6640197,8,"58"
431299,-1.201774,47.045972,381104,6669323,0,"44"
