"idp","xl93","yl93","dc","dep"
753791,687428,6616817,0,"03"
753807,229362,6810458,0,"22"
753843,697841,6666690,0,"18"
753864,966322,6514522,0,"73"
753869,656329,6721000,0,"18"
753892,948735,6560634,8,"74"
753930,636010,6681200,0,"18"
754020,816464,6515808,0,"69"
754085,780855,6558075,0,"42"
754110,514699,6512350,8,"24"
754141,643654,6401375,0,"15"
754203,735167,6590435,0,"03"
754240,454097,6432923,0,"33"
754247,451307,6337040,0,"40"
754263,983350,6866111,0,"57"
754294,792630,6767814,0,"10"
754295,803566,6643811,0,"71"
754303,460967,6297001,0,"32"
754308,433550,6606941,0,"79"
754338,318481,6709806,0,"44"
754358,928772,6446907,0,"38"
754386,925012,6822643,8,"54"
754425,735843,6670366,0,"58"
754473,460583,6734622,0,"72"
754486,356820,6265891,9,"64"
754539,1036635,6787699,8,"68"
754551,618617,6513482,0,"19"
754575,924740,6558843,0,"74"
754728,431593,6854781,0,"61"
754738,481228,6814397,0,"61"
754750,837810,6675495,0,"21"
754792,841226,6607519,0,"71"
754802,911508,6646885,9,"39"
754820,657622,6637052,0,"18"
754844,968911,6814269,8,"88"
754874,411525,6844952,0,"50"
754937,656077,6691024,0,"18"
754951,719958,6682491,0,"58"
754971,360832,6267856,0,"64"
754979,560755,6763771,8,"41"
754993,940638,6780536,0,"88"
755012,912453,6756795,0,"70"
755100,885641,6892938,0,"55"
755158,549038,6196378,0,"09"
755165,480614,6256881,0,"65"
755207,766667,6770033,9,"10"
755219,767685,6889949,0,"51"
755223,907065,6594965,0,"39"
755227,907742,6441094,0,"38"
755243,761961,6921979,0,"02"
755249,820729,6781565,0,"10"
755273,725578,6874315,0,"02"
755302,583872,6899492,0,"27"
755317,784083,6937782,8,"08"
755360,873249,6613240,8,"71"
755417,444530,6726760,0,"49"
755443,601937,6669494,0,"36"
755454,588053,6921445,0,"27"
755492,567816,6891630,0,"27"
755512,766766,6546204,0,"42"
755513,634463,6377475,0,"12"
755526,968392,6754314,0,"70"
755539,513007,6790150,0,"72"
755576,687794,6422983,0,"15"
755631,462699,6506785,0,"16"
755635,801516,6637833,8,"71"
755658,835334,6619559,8,"71"
755670,829697,6661575,0,"21"
755698,688102,6696750,8,"18"
755711,388589,6485415,0,"33"
755712,686811,6780702,0,"45"
755751,685941,6914627,8,"60"
755754,607581,6627480,0,"36"
755794,698497,6388926,0,"12"
755799,590602,6987389,0,"76"
755861,582323,6953475,0,"76"
755887,849597,6885252,8,"55"
755918,792035,6697868,0,"21"
755930,908095,6714863,3,"70"
756016,644085,6928972,0,"60"
756036,821926,6687621,0,"21"
756048,931162,6840578,0,"54"
756052,985228,6852103,8,"57"
756077,890161,6721012,0,"70"
756080,818421,6979468,0,"08"
756109,1033489,6885664,0,"57"
756192,682153,6464992,0,"15"
756296,340594,6725614,0,"44"
756373,629826,6897109,0,"75"
756405,693801,6898570,8,"60"
756443,822612,6533740,0,"69"
756465,401696,6865020,0,"14"
756470,830380,6741510,0,"21"
756506,457394,6832582,0,"61"
756551,708677,6766527,0,"45"
756567,482019,6426698,0,"24"
756571,564941,6206624,0,"09"
756585,680917,6792744,8,"77"
756614,742753,6778230,0,"89"
756622,793659,6653888,0,"71"
756625,738504,6512473,0,"63"
756704,885907,6341378,0,"84"
756785,932767,6562770,0,"74"
756895,652142,6341363,0,"12"
756931,612891,7023185,0,"80"
756945,706797,6780533,0,"89"
756988,377205,6803261,8,"35"
756994,963273,6508554,0,"73"
757006,451884,6406966,0,"33"
757074,916983,6818714,0,"54"
757085,774016,6694025,0,"89"
757100,599981,6315826,7,"81"
757115,743871,6674295,8,"58"
757131,869669,6895074,0,"55"
757242,910747,6790787,8,"88"
757260,565234,6581870,0,"87"
757275,778498,6398239,0,"07"
757295,860271,6731261,0,"52"
757378,552644,6749848,0,"41"
757427,819109,6591721,0,"71"
757441,625016,6203736,0,"11"
757448,837554,6645520,0,"71"
757488,600064,6325815,0,"81"
757656,280885,6756079,0,"56"
757689,879920,6924969,0,"54"
757702,539718,6877872,0,"27"
757716,878805,6795058,8,"52"
757914,714571,6754485,9,"89"
757927,546029,6915798,8,"76"
757981,724732,6774386,0,"89"
758032,700312,6722628,0,"89"
758087,522476,6486308,0,"24"
758218,623261,6829205,0,"75"
758244,665565,6630990,9,"18"
758280,1015467,6881823,0,"57"
758395,948149,6724511,8,"70"
758417,792895,6563967,0,"42"
758537,541156,6570080,0,"87"
758545,565086,6204236,0,"09"
758567,386296,6693263,0,"49"
758570,564352,6715774,0,"41"
758591,697082,6576769,8,"03"
758592,589601,6867463,8,"28"
758621,879998,6701114,0,"21"
758657,461379,6346947,0,"47"
758699,872651,6543304,0,"01"
758733,462204,6446843,8,"33"
758786,737912,6442541,0,"43"
758848,904672,6549024,0,"01"
758855,589268,6827491,0,"28"
758922,689956,6916592,0,"60"
758933,697141,6820589,8,"77"
759016,717740,6656530,0,"58"
759028,511041,6794163,0,"72"
759038,675022,6804786,0,"77"
759053,370083,6421626,0,"33"
759068,397027,6783112,0,"35"
759122,561471,6609879,0,"36"
759126,944566,6772507,0,"88"
759183,553393,6839782,9,"28"
759195,615817,6417593,0,"46"
759261,671543,6628941,9,"18"
759263,1000593,6780017,0,"68"
759334,634045,6685214,0,"18"
759348,939881,6924452,0,"57"
759355,554360,6715857,0,"41"
759368,866759,6555344,0,"01"
759511,1063382,6875410,0,"67"
759545,788361,6735872,0,"89"
759547,811593,6647740,0,"71"
759562,909729,6904724,0,"54"
759577,427004,6782865,0,"53"
759585,524242,6939965,0,"76"
759620,708930,6796505,0,"89"
759625,652937,6555159,0,"23"
759647,760773,6782075,0,"10"
759660,990427,6760120,8,"88"
759671,982658,6786169,8,"88"
759781,635422,6253594,0,"11"
759793,705676,6884478,0,"77"
759810,740588,6404555,9,"48"
759835,573110,6208164,8,"09"
759868,420600,6247387,9,"64"
759961,938504,6416852,0,"05"
759965,741550,6872181,8,"02"
