Slope;Species;Pred;Lower95;Upper95
45.0;Beech;0.16345060439039805;0.1471751661442785;0.18093436662063156
46.0;Beech;0.16056111985442728;0.14450420100423877;0.17791235931446148
47.0;Beech;0.15771790534493016;0.14175333852575045;0.1749951423732935
48.0;Beech;0.15492040329551404;0.13909343384944728;0.17206335021382335
49.0;Beech;0.152168055568239;0.13648208131051232;0.16919355239978096
50.0;Beech;0.1494603038154534;0.13387807674721297;0.1663596208332241
51.0;Beech;0.1467965898256794;0.13137253802593563;0.16361850248015997
52.0;Beech;0.1441763558539198;0.12889722266910375;0.16091494857545519
53.0;Beech;0.14159904493685802;0.1264212708207635;0.15822167946292565
54.0;Beech;0.13906410119335003;0.12401782622256119;0.155515334562639
55.0;Beech;0.13657097011062333;0.12166672313185078;0.15289426579403453
56.0;Beech;0.1341190988166174;0.11939559094573671;0.1503017878864943
57.0;Beech;0.13170793633884875;0.11708894807289572;0.14780342017342796
58.0;Beech;0.12933693385023898;0.11484001785504727;0.14534262703096978
59.0;Beech;0.12700554490226745;0.11257648050366553;0.1429308975827831
60.0;Beech;0.12471322564589223;0.11038164269625717;0.1405449312026411
61.0;Beech;0.12245943504056886;0.108207191085403;0.13823548216247816
62.0;Beech;0.12024363505180923;0.10607297549648165;0.13590769290945792
63.0;Beech;0.1180652908376142;0.10399047958223584;0.13366825171938856
64.0;Beech;0.11592387092417294;0.10198187022447569;0.1314265782385834
65.0;Beech;0.11381884737118063;0.099967292672827;0.12922230710547333
66.0;Beech;0.1117496959271371;0.09803303634417193;0.12709131586194689
67.0;Beech;0.1097158961749718;0.09611269766163755;0.12497489148530705
68.0;Beech;0.10771693166833482;0.09422037046656961;0.1228655517819045
69.0;Beech;0.10575229005889879;0.09234420532495002;0.12080593999904488
70.0;Beech;0.10382146321498165;0.090509172425151;0.11876427002681167
0.0;Fir;0.36602697796974754;0.3316216371011683;0.4016327556874816
1.0;Fir;0.36160849996373867;0.32783779500054755;0.3965913627899835
2.0;Fir;0.35722731945718933;0.3239826339464117;0.3914636726051145
3.0;Fir;0.35288359055954405;0.32012882259707387;0.386463691993553
4.0;Fir;0.34857745063299783;0.3164277629405339;0.38145581727261646
5.0;Fir;0.3443090206958627;0.31261609927016;0.3764987274319922
6.0;Fir;0.3400784058252346;0.30880212068957724;0.37161179125034316
7.0;Fir;0.3358856955585823;0.30520200815206133;0.36686018261331965
8.0;Fir;0.33173096429379717;0.30150209427907393;0.3621937910080305
9.0;Fir;0.3276142716873764;0.29792631389660584;0.35753964836423935
10.0;Fir;0.32353566305030645;0.29438324771209234;0.3529964582352094
11.0;Fir;0.31949516974139863;0.2908209241093176;0.3485528386836717
12.0;Fir;0.31549280955766423;0.2874279438426811;0.3439888215122112
13.0;Fir;0.3115285871214842;0.2839772140494572;0.3396132735119919
