SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:48;;;
Projet;_Forest resources database;;;;;;;
;;;;;;;;
;;;;;;;;
Calculation: ;Analyser;;;;;;;
Results: ;Inventaire;;;;;;;
Product: ;1 m3 _Oak industrial roundwood, manually felled, 80% water on dry mass basis, in forest/FR U (of project _Forest resources database);;;;;;;
Méthode: ;;;;;;;;
Indicateur: ;Inventaire;;;;;;;
Unité: ;?;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;
Per sub-compartment: ;Oui;;;;;;;
Default units: ;Non;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;
Sorted on item: ;Substance;;;;;;;
Sort order: ;Croissant;;;;;;;
;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak industrial roundwood, manually felled, 80% water on dry mass basis, in forest/FR U;_Power sawing, without catalytic converter/hr/RER_357XP/Husqvarna U (2009);Operation, passenger car, diesel, fleet average/RER S
80;Anthranilic acid;Air;high. pop.;kg;3.12967E-15;x;2.44304E-15;6.86632E-16
81;Antimony;Air;;kg;9.50716E-12;x;8.43132E-12;1.07584E-12
82;Antimony;Air;high. pop.;kg;1.67316E-10;x;1.65596E-10;1.71978E-12
83;Antimony;Air;low. pop.;kg;6.24744E-09;x;6.06602E-09;1.81422E-10
84;Antimony;Eau;;kg;1.90804E-13;x;1.81986E-13;8.81864E-15
85;Antimony;Eau;groundwater;kg;1.51488E-08;x;1.41992E-08;9.49621E-10
86;Antimony;Eau;river;kg;4.01947E-08;x;3.94773E-08;7.17403E-10
87;Antimony;Sol;agricultural;kg;3.77509E-13;x;3.72834E-13;4.67498E-15
88;Antimony-122;Eau;river;Bq;1.91883E-06;x;1.52126E-06;3.97564E-07
89;Antimony-124;Air;low. pop.;Bq;4.75945E-09;x;3.77332E-09;9.86129E-10
90;Antimony-124;Eau;river;Bq;0.00092983;x;0.000856259;7.3571E-05
91;Antimony-125;Air;low. pop.;Bq;4.96688E-08;x;3.93779E-08;1.0291E-08
92;Antimony-125;Eau;river;Bq;0.000854886;x;0.000786965;6.79214E-05
93;AOX, Adsorbable Organic Halogen as Cl;Eau;;kg;4.92724E-09;x;4.91358E-09;1.36678E-11
94;AOX, Adsorbable Organic Halogen as Cl;Eau;ocean;kg;7.85788E-09;x;7.23134E-09;6.26542E-10
95;AOX, Adsorbable Organic Halogen as Cl;Eau;river;kg;4.28593E-08;x;3.90549E-08;3.80443E-09
96;Argon-41;Air;low. pop.;Bq;0.436362251;x;0.408505333;0.027856918
97;Arsenic;Air;;kg;5.71781E-11;x;5.07128E-11;6.4653E-12
98;Arsenic;Air;high. pop.;kg;2.37125E-08;x;2.20536E-08;1.65895E-09
99;Arsenic;Air;low. pop.;kg;6.45059E-08;x;6.28722E-08;1.6337E-09
100;Arsenic;Sol;agricultural;kg;5.32923E-11;x;5.12958E-11;1.99658E-12
101;Arsenic;Sol;industrial;kg;1.1462E-08;x;1.03907E-08;1.07131E-09
102;Arsenic, ion;Eau;;kg;8.44516E-10;x;7.75187E-10;6.93289E-11
103;Arsenic, ion;Eau;groundwater;kg;7.57756E-08;x;7.10174E-08;4.7582E-09
104;Arsenic, ion;Eau;lake;kg;5.87339E-15;x;5.81161E-15;6.1776E-17
105;Arsenic, ion;Eau;ocean;kg;1.38206E-08;x;1.27161E-08;1.1045E-09
106;Arsenic, ion;Eau;river;kg;1.29164E-07;x;1.20488E-07;8.67612E-09
107;Arsine;Air;high. pop.;kg;1.47687E-15;x;1.46161E-15;1.52588E-17
108;Atrazine;Sol;agricultural;kg;8.54927E-13;x;8.46082E-13;8.84485E-15
109;Barite;Eau;ocean;kg;0.000224264;x;0.0002064;1.78643E-05
110;Barium;Air;;kg;2.39325E-17;x;2.22321E-17;1.70042E-18
111;Barium;Air;high. pop.;kg;9.54294E-09;x;9.45962E-09;8.33211E-11
112;Barium;Air;low. pop.;kg;1.78562E-08;x;1.67177E-08;1.13857E-09
113;Barium;Eau;;kg;4.82629E-09;x;4.60322E-09;2.23064E-10
114;Barium;Eau;groundwater;kg;4.37135E-09;x;4.10254E-09;2.68814E-10
115;Barium;Eau;ocean;kg;1.77482E-05;x;1.63167E-05;1.43157E-06
116;Barium;Eau;river;kg;3.66494E-05;x;3.22432E-05;4.40622E-06
117;Barium;Sol;agricultural;kg;7.72274E-10;x;6.79334E-10;9.29402E-11
118;Barium;Sol;industrial;kg;1.43274E-05;x;1.29883E-05;1.33915E-06
119;Barium-140;Air;low. pop.;Bq;3.23087E-06;x;2.56145E-06;6.69423E-07
120;Barium-140;Eau;river;Bq;8.40554E-06;x;6.66398E-06;1.74156E-06
121;Baryte;Brut;in ground;kg;0.004912954;x;0.004460752;0.000452201
122;Basalt;Brut;in ground;kg;6.74515E-05;x;6.29541E-05;4.4974E-06
123;Benomyl;Sol;agricultural;kg;1.38222E-12;x;1.24829E-12;1.33927E-13
124;Bentazone;Sol;agricultural;kg;1.80852E-11;x;1.39688E-11;4.11639E-12
125;Benzal chloride;Air;;kg;1.19776E-17;x;1.1424E-17;5.5358E-19
126;Benzaldehyde;Air;high. pop.;kg;6.31847E-11;x;5.63079E-11;6.87677E-12
127;Benzene;Air;;kg;4.66199E-07;x;4.19005E-08;4.24298E-07
128;Benzene;Air;high. pop.;kg;8.76849E-06;x;8.04259E-06;7.25902E-07
