species;meanNbObs;lowNbObs;uppNbObs;meanBias;lowBias;uppBias;meanMse;lowMse;uppMse;meanMeanObs;lowMeanObs;uppMeanObs
PIN_MARITIME;695.138;676.0;715.0;-0.014894726581144024;-0.19560878244275498;0.16982349534652705;4.01129184315847;3.5864547622714626;4.466420794513909;19.046581041753722;18.853857142857144;19.23880171184023
PIN_NOIR_D_AUTRICHE;177.09300000000002;165.0;189.0;-0.011414105386517886;-0.445857571732313;0.4535838566696663;5.734643600372783;4.290922288314252;7.399467890010168;15.621443013060354;15.16127167630058;16.061081081081074
PIN_SYLVESTRE;1432.517;1402.0;1463.0;-0.2516864536434362;-0.42052410944445956;-0.08270302859826563;6.209742825840709;5.587658165977257;6.94646212554889;16.400658318765053;16.2467741935484;16.562560890744603
ROBINIER_FAUX_ACACIA;343.77;328.0;361.0;-0.008810921645427752;-0.34977686730871965;0.31279764602363014;7.748581853397509;6.688866011685305;8.805427327994552;16.393623940265325;15.997084548104958;16.74985250737464
SAPIN_PECTINE;1816.457;1785.0;1849.0;-0.05028474362257563;-0.196307157658657;0.09942633277458005;6.564741802988928;6.1117525626483875;7.043803511493116;20.259171272818232;20.063859453430055;20.448131868131913
SAULE_MARSAULT;148.942;134.0;164.0;-0.23829519980704295;-0.6419513431520307;0.1392148436403095;6.247503606773674;4.808527725463162;7.718364451858817;11.62563914351703;11.256756756756758;11.981428571428575
SORBIER_DES_OISELEURS;56.879;48.0;65.0;-0.19123451617289827;-0.6216862948860044;0.23722930186834765;3.678285138893401;2.687082946793828;4.624833969329227;9.614207276935396;9.11176470588235;10.101886792452833
TILLEUL_A_GRANDES_FEUILLES;153.252;141.0;166.0;-0.08182297137151574;-0.5709192951780813;0.4247862249828564;7.067195625973539;5.671857274324049;8.54391580896144;15.898688028452044;15.375163398692779;16.426000000000002
TILLEUL_A_PETITES_FEUILLES;148.74;136.0;162.0;0.06118801766993185;-0.4406349632586767;0.6065900598561537;8.343614900644091;6.568775817908908;10.584181238407204;16.830509727957086;16.202531645569618;17.464625850340145
TREMBLE;314.97;297.0;335.0;-0.10518824926720483;-0.3924782791199345;0.17039563756866982;5.324714820171837;4.5043691666608225;6.155284934761238;18.59805890891591;18.2174193548387;18.955031446540904
