Espece,Dimension,Annee,Prix
Pin maritime,total,2007,29.4
Pin maritime,total,2008,25.2
Pin maritime,total,2009,20
Pin maritime,total,2010,21.4
Pin maritime,total,2011,27.3
Pin maritime,total,2012,23.2
Pin maritime,total,2013,28.7
Pin maritime,total,2014,38.5
Pin maritime,total,2015,36.9
Pin maritime,total,2016,35.3
Taillis feuillus,total,1989,6.9
Taillis feuillus,total,1999,8.5
Taillis feuillus,total,2006,12
Taillis feuillus,total,2007,11.8
Taillis feuillus,total,2008,13.5
Taillis feuillus,total,2009,12.8
Taillis feuillus,total,2010,14.8
Taillis feuillus,total,2011,16
Taillis feuillus,total,2012,15.2
Taillis feuillus,total,2013,16.9
Taillis feuillus,total,2014,18.4
Taillis feuillus,total,2015,14.9
Taillis feuillus,total,2016,14.7
Toutes essences,total,1989,39.5
Toutes essences,total,1999,44.5
Toutes essences,total,2006,41.4
Toutes essences,total,2007,53.3
Toutes essences,total,2008,50.3
Toutes essences,total,2009,36
Toutes essences,total,2010,42.7
Toutes essences,total,2011,43.8
Toutes essences,total,2012,41.2
Toutes essences,total,2013,47.2
Toutes essences,total,2014,55.3
Toutes essences,total,2015,55.8
Toutes essences,total,2016,54.4
Douglas,total,2004,34.6
Douglas,total,2005,39.4
Douglas,total,2006,48.6
Douglas,total,2007,60.3
Douglas,total,2008,52.1
Douglas,total,2009,49.4
Douglas,total,2010,53.9
Douglas,total,2011,55.3
Douglas,total,2012,49
Douglas,total,2013,53.4
Douglas,total,2014,57.6
Douglas,total,2015,52
Douglas,total,2016,55.7
Peuplier,total,2004,35.5
Peuplier,total,2005,35.3
Peuplier,total,2006,37.1
Peuplier,total,2007,39.4
Peuplier,total,2008,36.4
Peuplier,total,2009,29.4
Peuplier,total,2010,34.8
Peuplier,total,2011,33.2
Peuplier,total,2012,29.8
Peuplier,total,2013,38.9
Peuplier,total,2014,34.2
Peuplier,total,2015,33.9
Peuplier,total,2016,32.4
